ID,Title,Episodes,ProductionHouse,Genres,Type,Year,Rating,ProductionHouse_Merged,Genres_Merged
44,"Sen to Chihiro no Kamikakushi",1,"['Studio Ghibli']","['Adventure', 'Family Friendly', 'Fantasy', 'Japanese Mythology', 'Magic', 'Original Work', 'Person in a Strange World']",Movie,2001,4.6,StudioGhibli,AdventureFamilyFriendlyFantasyJapaneseMythologyMagicOriginalWorkPersoninaStrangeWorld
14,"Ookami Kodomo no Ame to Yuki",1,"['Studio Chizu']","['Childcare', 'Coming of Age', 'Countryside', 'Fantasy', 'Slice of Life']",Movie,2012,4.6,StudioChizu,ChildcareComingofAgeCountrysideFantasySliceofLife
