ID,Title,Episodes,ProductionHouse,Genres,Type,Year,Rating,Genres_Merged
1,Hagane no Renkinjutsushi (2009),64,Bones,[Action,Adventure,Animal Abuse,Based on a Manga,Drama,Fantasy,Military,Mystery,Violence],TV,2009 - 2010,4.7,ActionAdventureAnimalAbuseBasedonaMangaDramaFantasyMilitaryMysteryViolence
2,Fullmetal Alchemist: Brotherhood,64,Bones,[Action,Adventure,Animal Abuse,Based on a Manga,Drama,Fantasy,Military,Mystery,Violence],TV,2009 - 2010,4.7,ActionAdventureAnimalAbuseBasedonaMangaDramaFantasyMilitaryMysteryViolence
3,Gintama The Movie: The Final Chapter: Be Forever Yorozuya,1,Sunrise,[Action,Aliens,Based on a Manga,Comedy,Drama,Feudal Japan,Samurai,Sci Fi,Swordplay,Time Travel],Movie,2013,4.7,ActionAliensBasedonaMangaComedyDramaFeudalJapanSamuraiSciFiSwordplayTimeTravel
4,Gekijouban Gintama Kanketsuhen: Yorozuya yo Eien Nare,1,Sunrise,[Action,Aliens,Based on a Manga,Comedy,Drama,Feudal Japan,Samurai,Sci Fi,Swordplay,Time Travel],Movie,2013,4.7,ActionAliensBasedonaMangaComedyDramaFeudalJapanSamuraiSciFiSwordplayTimeTravel
5,Gintama (2015),27+,BN Pictures,[Action,Aliens,Based on a Manga,Comedy,Crude,Drama,Feudal Japan,Parody,Samurai,Sci Fi,Swordplay],TV,2015 - ?,4.7,ActionAliensBasedonaMangaComedyCrudeDramaFeudalJapanParodySamuraiSciFiSwordplay
6,Gintama°,27+,BN Pictures,[Action,Aliens,Based on a Manga,Comedy,Crude,Drama,Feudal Japan,Parody,Samurai,Sci Fi,Swordplay],TV,2015 - ?,4.7,ActionAliensBasedonaMangaComedyCrudeDramaFeudalJapanParodySamuraiSciFiSwordplay
7,Steins;Gate,24,WHITE FOX,[Based on a Visual Novel,LGBT Themes,Psychological,Sci Fi,Thriller,Time Travel],TV,2011,4.7,BasedonaVisualNovelLGBTThemesPsychologicalSciFiThrillerTimeTravel
8,Code Geass: Lelouch of the Rebellion R2,25,Sunrise,[Mecha,Original Work,Political,Psychological,Sci Fi,Superpowers],TV,2008,4.6,MechaOriginalWorkPoliticalPsychologicalSciFiSuperpowers
9,Clannad After Story,24,Kyoto Animation,[Based on a Visual Novel,Comedy,Coming of Age,Drama,Romance],TV,2008 - 2009,4.6,BasedonaVisualNovelComedyComingofAgeDramaRomance
10,Mushishi Zoku Shou 2,10,Artland,[Based on a Manga,Episodic,Fantasy,Seinen,Supernatural],TV,2014,4.6,BasedonaMangaEpisodicFantasySeinenSupernatural
11,Hunter x Hunter (2011),148,MADHOUSE,[Action,Adventure,Based on a Manga,Shounen,Superpowers,Violence],TV,2011 - 2014,4.6,ActionAdventureBasedonaMangaShounenSuperpowersViolence
12,Mushishi Zoku Shou: Suzu no Shizuku,1,Artland,[Fantasy,Seinen,Supernatural],Movie,2015,4.6,FantasySeinenSupernatural
13,Gintama (2012),13,Sunrise,[Action,Aliens,Based on a Manga,Comedy,Crude,Drama,Feudal Japan,Parody,Samurai,Sci Fi,Swordplay],TV,2012 - 2013,4.6,ActionAliensBasedonaMangaComedyCrudeDramaFeudalJapanParodySamuraiSciFiSwordplay
14,Ookami Kodomo no Ame to Yuki,1,Studio Chizu,[Childcare,Coming of Age,Countryside,Fantasy,Slice of Life],Movie,2012,4.6,ChildcareComingofAgeCountrysideFantasySliceofLife
15,Wolf Children,1,Studio Chizu,[Childcare,Coming of Age,Countryside,Fantasy,Slice of Life],Movie,2012,4.6,ChildcareComingofAgeCountrysideFantasySliceofLife
16,Gintama',51,Sunrise,[Action,Aliens,Based on a Manga,Comedy,Crude,Drama,Feudal Japan,Parody,Samurai,Sci Fi,Swordplay],TV,2011 - 2012,4.6,ActionAliensBasedonaMangaComedyCrudeDramaFeudalJapanParodySamuraiSciFiSwordplay
17,Suzumiya Haruhi no Shoushitsu,1,Kyoto Animation,[Drama,Psychological,Sci Fi,Time Travel],Movie,2010,4.6,DramaPsychologicalSciFiTimeTravel
18,The Disappearance of Haruhi Suzumiya,1,Kyoto Animation,[Drama,Psychological,Sci Fi,Time Travel],Movie,2010,4.6,DramaPsychologicalSciFiTimeTravel
19,Mushishi Zoku Shou,10,Artland,[Episodic,Fantasy,Seinen,Supernatural],TV,2014,4.6,EpisodicFantasySeinenSupernatural
20,Mushi-shi -Next Passage-,10,Artland,[Episodic,Fantasy,Seinen,Supernatural],TV,2014,4.6,EpisodicFantasySeinenSupernatural
21,Kuroko's Basketball 3,25,Production I.G,[Based on a Manga,Basketball,School Club,Shounen,Sports,Tournaments],TV,2015,4.6,BasedonaMangaBasketballSchoolClubShounenSportsTournaments
22,Hajime no Ippo: New Challenger,26,MADHOUSE,[Action,Based on a Manga,Boxing,Drama,Hand to Hand Combat,Sports,Tournaments],TV,2009,4.6,ActionBasedonaMangaBoxingDramaHandtoHandCombatSportsTournaments
23,Code Geass: Lelouch of the Rebellion,25,Sunrise,[Mecha,Original Work,Political,Psychological,Revenge,Sci Fi,Superpowers],TV,2006 - 2007,4.6,MechaOriginalWorkPoliticalPsychologicalRevengeSciFiSuperpowers
24,Haikyuu!! Second Season,2+,Production I.G,[Based on a Manga,School Club,School Life,Sports],TV,2015 - ?,4.6,BasedonaMangaSchoolClubSchoolLifeSports
25,Kara no Kyoukai Movie 5: Mujun Rasen,1,ufotable,[Based on a Light Novel,Mystery,Supernatural],Movie,2008,4.6,BasedonaLightNovelMysterySupernatural
26,Shigatsu wa Kimi no Uso,22,A-1 Pictures,[Based on a Manga,Classical Music,Drama,Music,noitaminA,Psychological,Romance,School Life,Tournaments],TV,2014 - 2015,4.6,BasedonaMangaClassicalMusicDramaMusicnoitaminAPsychologicalRomanceSchoolLifeTournaments
27,Your lie in April,22,A-1 Pictures,[Based on a Manga,Classical Music,Drama,Music,noitaminA,Psychological,Romance,School Life,Tournaments],TV,2014 - 2015,4.6,BasedonaMangaClassicalMusicDramaMusicnoitaminAPsychologicalRomanceSchoolLifeTournaments
28,Fate/Zero 2,12,ufotable,[Action,Based on a Light Novel,Fantasy,Magic,Superpowers,Violence],TV,2012,4.6,ActionBasedonaLightNovelFantasyMagicSuperpowersViolence
29,Kuroko's Basketball 2,25,Production I.G,[Based on a Manga,Basketball,School Club,Shounen,Sports,Tournaments],TV,2013 - 2014,4.6,BasedonaMangaBasketballSchoolClubShounenSportsTournaments
30,Natsume Yuujinchou Shi,13,Brains-Base,[Based on a Manga,Drama,Episodic,Japanese Mythology,Slice of Life,Supernatural],TV,2012,4.6,BasedonaMangaDramaEpisodicJapaneseMythologySliceofLifeSupernatural
31,Natsume's Book of Friends Season 4,13,Brains-Base,[Based on a Manga,Drama,Episodic,Japanese Mythology,Slice of Life,Supernatural],TV,2012,4.6,BasedonaMangaDramaEpisodicJapaneseMythologySliceofLifeSupernatural
32,Mushishi Special: Sun-Eating Shade,1,Artland,[Fantasy,Seinen,Supernatural],TV Special,2014,4.6,FantasySeinenSupernatural
33,Mushishi Tokubetsu-hen: Hihamukage,1,Artland,[Fantasy,Seinen,Supernatural],TV Special,2014,4.6,FantasySeinenSupernatural
34,Bunny Drop,11,Production I.G,[Based on a Manga,Childcare,Drama,noitaminA,Slice of Life],TV,2011,4.6,BasedonaMangaChildcareDramanoitaminASliceofLife
35,Usagi Drop,11,Production I.G,[Based on a Manga,Childcare,Drama,noitaminA,Slice of Life],TV,2011,4.6,BasedonaMangaChildcareDramanoitaminASliceofLife
