ID,Title,Episodes,ProductionHouse,Genres,Type,Year,Rating,ProductionHouse_Merged,Genres_Merged
['17', 'Kotonoha no Niwa (The Garden of Words)', '1', "['CoMix Wave Films', 'Sentai Filmworks', 'TOHO animation']", "['Drama', 'Psychological', 'Romance', 'Slice of Life']", 'Movie', '2013-2013', 'PG-13'],CoMixWaveFilmsSentaiFilmworksTOHOanimation,DramaPsychologicalRomanceSliceofLife
['18', 'Eve no Jikan (Movie) (Time of Eve)', '1', "['Studio Rikka', 'Directions', 'Code']", "['Sci-Fi', 'Slice of Life']", 'Movie', '2010-2010', 'PG-13'],StudioRikkaDirectionsCode,Sci-FiSliceofLife
['19', 'Redline', '1', "['Madhouse', 'Anchor Bay Films']", "['Action', 'Cars', 'Sci-Fi', 'Sports']", 'Movie', '2009-2009', 'R+'],MadhouseAnchorBayFilms,ActionCarsSci-FiSports
['20', 'Sennen Joyuu (Millennium Actress)', '1', "['Madhouse', 'Bandai Visual', 'Genco', 'Kadokawa Shoten']", "['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Romance']", 'Movie', '2001-2001', 'PG-13'],MadhouseBandaiVisualGencoKadokawaShoten,ActionAdventureDramaFantasyHistoricalRomance
['21', 'Ghost in the Shell', '1', "['Production I.G', 'Production Reed']", "['Mecha', 'Police', 'Psychological', 'Sci-Fi']", 'Movie', '1995-1995', 'R+'],ProductionI.GProductionReed,MechaPolicePsychologicalSci-Fi
['22', 'Mimi wo Sumaseba (Whisper of the Heart)', '1', "['Studio Ghibli', 'Tokuma Shoten', 'Walt Disney Studios', 'GKids']", "['Adventure', 'Drama', 'Fantasy', 'Romance', 'Slice of Life']", 'Movie', '1995-1995', 'G'],StudioGhibliTokumaShotenWaltDisneyStudiosGKids,AdventureDramaFantasyRomanceSliceofLife
['23', 'Tokyo Godfathers', '1', "['Madhouse', 'Sony Pictures Entertainment', 'Dentsu', 'Genco']", "['Comedy', 'Drama']", 'Movie', '2003-2003', 'PG-13'],MadhouseSonyPicturesEntertainmentDentsuGenco,ComedyDrama
['24', 'Tsumiki no Ie (La Maison en Petits Cubes)', '1', "['Oh! Production', 'Robot']", "['Drama']", 'Movie', '2008-2008', 'G'],Oh!ProductionRobot,Drama
['25', 'Kaze Tachinu (The Wind Rises)', '1', "['Studio Ghibli']", "['Drama', 'Historical', 'Romance']", 'Movie', '2013-2013', 'PG-13'],StudioGhibli,DramaHistoricalRomance
['26', 'Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie', '1', "['Aniplex', 'A-1 Pictures', 'Aniplex of America']", "['Drama', 'Slice of Life', 'Supernatural']", 'Movie', '2013-2013', 'PG-13'],AniplexA-1PicturesAniplexofAmerica,DramaSliceofLifeSupernatural
['27', 'Majo no Takkyuubin (Kiki&#039;s Delivery Service)', '1', "['Studio Ghibli', 'Studio Hibari', 'Walt Disney Studios', 'GKids']", "['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance']", 'Movie', '1989-1989', 'G'],StudioGhibliStudioHibariWaltDisneyStudiosGKids,AdventureComedyDramaFantasyMagicRomance
['28', 'Sakasama no Patema (Patema Inverted)', '1', "['Studio Rikka', 'Directions', 'Asmik Ace Entertainment', 'Purple Cow Studio Japan', 'Good Smile Company']", "['Sci-Fi', 'Seinen']", 'Movie', '2013-2013', 'PG-13'],StudioRikkaDirectionsAsmikAceEntertainmentPurpleCowStudioJapanGoodSmileCompany,Sci-FiSeinen
['29', 'Stand By Me Doraemon', '1', "['Shirogumi', 'Toho Company', 'Shin-Ei Animation', 'Robot']", "['Comedy', 'Kids', 'Sci-Fi', 'Shounen']", 'Movie', '2014-2014', 'PG'],ShirogumiTohoCompanyShin-EiAnimationRobot,ComedyKidsSci-FiShounen
