Name	Net Worth(Billions$)	Source of Wealth
Che Woo Lui	 7.6 	casinos
Robert &amp; Philip Ng	 7.6 	real estate
Mikhail Prokhorov	 7.6 	investments
August von Finck	 7.6 	investments
Ken Griffin	 7.5 	hedge funds
Ananda Krishnan	 7.4 	telecom
Eli Broad	 7.3 	investments
Thomas Frist	 7.3 	health care
Herbert Kohler	 7.3 	plumbing fixtures
Harry Triguboff	 7.3 	property
Edward Johnson	 7.2 	money management
Pierre Omidyar	 7.2 	eBay
Takemitsu Takizaki	 7.2 	sensors
Wenyin Wang	 7.2 	mining, copper products
Micky Arison	 7.1 	Carnival Cruises
George Kaiser	 7.1 	oil &amp; gas, banking
Les Wexner	 7.1 	retail
Alberto Bailleres Gonzalez	 6.9 	mining
Dhanin Chearavanont	 6.8 	food
Margarita Louis-Dreyfus	 6.8 	commodities
Alexei Kuzmichev	 6.7 	oil, banking, telecom
Nicky Oppenheimer	 6.6 	diamonds
Peter Woo	 6.6 	real estate
Jean-Claude Decaux	 6.5 	advertising
David Geffen	 6.5 	entertainment
James Chambers	 6.4 	Media
Walter Droege	 6.4 	Consulting
Graeme Hart	 6.4 	investments
Sandra Ortega Mera 	 6.4 	Zara
Katharine Rayner	 6.4 	Media
Margaretta Taylor	 6.4 	Media
John Grayken	 6.3 	private equity
Uday Kotak	 6.3 	banking
Qiangdong Liu	 6.3 	e-commerce
John Malone	 6.3 	cable television
Silvio Berlusconi	 6.2 	media
Garrett Camp	 6.2 	Uber Technologies
Curt Engelhorn	 6.2 	pharmaceuticals
Travis Kalanick	 6.2 	Uber Technologies
Walter Kwok	 6.2 	real estate
Eduardo Saverin	 6.2 	Facebook
Shihui Xu	 6.2 	snacks, beverages
Qinghou Zong	 6.2 	beverages
Giorgio Armani	 6.1 	Armani
Kumar Birla	 6.1 	commodities
Eva Gonda de Rivera 	 6.1 	beverages
Wolfgang Marguerre	 6.1 	pharmaceuticals
Hansjoerg Wyss	 6.1 	medical devices
Lee	 6 	Samsung
Gordon Moore	 6 	Intel
Frederik Paulsen	 6 	health care
Eng-Meng Tsai	 6 	food, beverages
Patrick Drahi	 5.9 	Telecom
Philip &amp; Cristina Green	 5.9 	retail
Mikhail Gutseriev	 5.9 	oil, real estate
Shahid Khan	 5.9 	auto parts
Richard LeFrak	 5.9 	real estate
Tom &amp; Judy Love	 5.9 	retail &amp; gas stations
Sutong Pan	 5.9 	real estate, finance
Zhidong Zhang	 5.9 	internet media
Qunfei Zhou	 5.9 	smartphone glass covers
Michael Kadoorie	 5.8 	hotels, energy
Jorn Rausing	 5.8 	packaging
Sobrato	 5.8 	real estate
Dennis Washington	 5.8 	construction, mining
Christoffel Wiese	 5.8 	retailing
Francis Choi	 5.7 	real estate
Sergei Galitsky	 5.7 	retail
Antonia Johnson	 5.7 	diversified
Pauline MacMillan Keinath	 5.7 	Cargill
Guanqiu Lu	 5.7 	conglomerate
Sunil Mittal	 5.7 	telecom
Denis O'Brien	 5.7 	telecom
Augusto &amp; Giorgio Perfetti	 5.7 	candy
Melker Schorling	 5.7 	investments
Heinrich Deichmann	 5.6 	Footwear
Terry Gou	 5.6 	electronics
David Green	 5.6 	retail
Hiroshi Mikitani	 5.6 	online retailing
Stef Wertheimer	 5.6 	metalworking tools
Maria Asuncion Aramburuzabala	 5.5 	beer, investments
Desh Bandhu Gupta	 5.5 	pharmaceuticals
Ralph Lauren	 5.5 	Ralph Lauren
Ted Lerner	 5.5 	real estate
James Ratcliffe	 5.5 	chemicals
Finn Rausing	 5.5 	packaging
Kirsten Rausing	 5.5 	packaging
Bruce Halle	 5.4 	tires
James Irving	 5.4 	diversified
Jason Jiang	 5.4 	advertising
Richard Kinder	 5.4 	pipelines
Juan Roig	 5.4 	supermarkets
Charles Schwab	 5.4 	discount brokerage
Aloys Wobben	 5.4 	wind turbines
Chuanhua Xu	 5.4 	chemicals
Vincent Bollore	 5.3 	investments
Guenther Fielmann	 5.3 	optometry
