Rank,Title,Episodes,Producers,Genres,Type,PremieredYear,ENDYear,Rating,Score,VoiceActors
1626,07-Ghost,25,"['Studio Deen', 'Discotek']","['Action', 'Demons', 'Fantasy', 'Magic', 'Military', 'Shoujo']",TV,2009,2009,PG-13,7.46,"['Suwabe Junichi', 'Inoue Marina', 'Saiga Mitsuki', 'Hayami Show', 'Miyata Kouki']"
4737,3-gatsu no Lion meets Bump of Chicken,1,"['None found', 'add some']","['Drama', 'Music', 'Seinen']",Music,2014,2014,G,6.56,"[]"
3122,3x3 Eyes,4,"['Toei Animation', 'Bandai Visual', 'Kodansha']","['Action', 'Demons', 'Fantasy', 'Horror', 'Romance']",OVA,1991,1992,R,7.02,"['Tsujitani Kouji', 'Hayashibara Megumi', 'Hayashibara Megumi', 'Ootsuka Akio']"
2653,3x3 Eyes Seima Densetsu (3x3 Eyes: Legend of the Divine Demon),3,"['Bandai Visual', 'Kodansha', 'Studio Junio']","['Action', 'Adventure', 'Demons', 'Fantasy', 'Horror', 'Romance']",OVA,1995,1996,R,7.16,"['Hayashibara Megumi', 'Hayashibara Megumi', 'Ootsuka Akio']"
1834,11-nin Iru! (They Were Eleven),1,"['Kitty Films', 'Central Park Media']","['Action', 'Adventure', 'Drama', 'Mystery', 'Romance', 'Sci-Fi', 'Shoujo', 'Space']",Movie,1986,1986,PG-13,7.40,"['Kawai Michiko', 'Kamiya Akira', 'Furukawa Toshio', 'Tarako Isono']"
4612,11eyes (11 Eyes),12,"['Marvelous Entertainment', 'Doga Kobo', 'Pony Canyon', 'Sentai Filmworks', 'feng']","['Action', 'Ecchi', 'Super Power', 'Supernatural']",TV,2009,2009,R,6.60,"['Asakawa Yuu', 'Ichimura Oma', 'Ono Daisuke', 'Kanada Aki', 'Gotou Mai']"
5013,12-sai. (Age 12),8,"['SynergySP', 'Half H.P Studio']","['Romance', 'School', 'Shoujo']",OVA,2014,2015,PG-13,6.47,"['Iguchi Yuuichi', 'Haruno Nanami', 'Saito Soma', 'Kakuma Ai']"
3616,30-sai no Hoken Taiiku,12,"['Gathering']","['Ecchi', 'Parody', 'Romance', 'Seinen']",TV,2011,2011,R,6.87,"['Nazuka Kaori', 'Shimono Hiro', 'Watanabe Yui', 'Okiayu Ryotaro']"
2363,30th Gundam Perfect Mission,1,"['Sunrise']","['Mecha', 'Sci-Fi']",OVA,2009,2009,G,7.24,"[]"
2333,A-Channel+smile,2,"['Aniplex', 'Dentsu', 'Mainichi Broadcasting', 'Studio Gokumi']","['Comedy', 'School', 'Seinen', 'Slice of Life']",OVA,2012,2012,PG-13,7.25,"['Yuuki Aoi', 'Kotobuki Minako', 'Fukuhara Kaori', 'Uchiyama Yumi']"
2852,A-Channel,12,"['Aniplex', 'Dentsu', 'Mainichi Broadcasting', 'Sentai Filmworks', 'Studio Gokumi']","['Comedy', 'School', 'Seinen', 'Slice of Life']",TV,2011,2011,PG-13,7.10,"['Yuuki Aoi', 'Kotobuki Minako', 'Fukuhara Kaori', 'Uchiyama Yumi']"
4779,A-Ko The Versus (Project A-ko: Uncivil Wars),2,"['None found', 'add some']","['Action', 'Adventure', 'Comedy', 'Romance', 'Sci-Fi', 'Shounen', 'Super Power']",OVA,1990,1990,PG-13,6.55,"['Itou Miki', 'Shinohara Emi', 'Tomizawa Michie', 'Takayama Minami', 'Hayami Show']"
4863,AD Police (AD Police Files),3,"['AIC', 'Artmic', 'Youmex', 'Animeigo']","['Adventure', 'Dementia', 'Mecha', 'Mystery', 'Police', 'Psychological', 'Sci-Fi', 'Thriller']",OVA,1990,1990,R+,6.52,"['Furukawa Toshio', 'Matsuoka Youko', 'Ichiryuusai Harumi', 'Tominaga Miina']"
1194,AKB0048,13,"['Satelight', 'Starchild Records', 'Magic Capsule', 'Sentai Filmworks', 'AKB0048 Production Committee', 'GANSIS']","['Music', 'Sci-Fi']",TV,2012,2012,PG-13,7.61,"['Iwata Karen', 'Watanabe Mayu', 'Yagami Kumi', 'Ishida Haruka']"
1734,Aa! Megami-sama! (Oh! My Goddess),5,"['Bandai Visual', 'KSS', 'Kodansha', 'Animeigo']","['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']",OVA,1993,1994,PG-13,7.43,"['Inoue Kikuko', 'Touma Yumi', 'Touma Yumi', 'Ogata Megumi', 'Kikuchi Masami', 'Hisakawa Aya']"
1593,Aa! Megami-sama! (2011),3,"['AIC']","['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']",OVA,2011,2013,PG-13,7.47,"['Inoue Kikuko', 'Touma Yumi', 'Kikuchi Masami', 'Hisakawa Aya']"
1525,Aa! Megami-sama! (TV) (Ah! My Goddess TV),24,"['Bandai Visual', 'AIC', 'TBS', 'Media Blasters', 'NYAV Post']","['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']",TV,2005,2005,PG-13,7.49,"['Inoue Kikuko', 'Touma Yumi', 'Kikuchi Masami', 'Hisakawa Aya']"
1140,Aa! Megami-sama! (TV) Specials,3,"['Bandai Visual', 'AIC', 'Media Blasters', 'NYAV Post']","['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']",Special,2005,2005,PG-13,7.63,"['Inoue Kikuko', 'Touma Yumi', 'Kikuchi Masami', 'Hisakawa Aya']"
1052,Aa! Megami-sama! Movie (Ah! My Goddess: The Movie),1,"['Bandai Visual', 'Geneon Universal Entertainment', 'AIC', 'Pony Canyon', 'Kodansha', 'Movic', 'Sega']","['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']",Movie,2000,2000,PG-13,7.67,"['Inoue Kikuko', 'Touma Yumi', 'Kikuchi Masami', 'Hisakawa Aya']"
3327,Aachi wa Ssipak (Aachi and Ssipak),1,"['Flatiron Film Company']","['Action', 'Comedy']",Movie,2006,2006,R+,6.96,"[]"
1801,Abenobashi Mahou Shoutengai (Abenobashi Magical Shopping District),13,"['Gainax', 'Madhouse', 'ADV Films', 'Imagica']","['Comedy', 'Ecchi', 'Fantasy', 'Parody']",TV,2002,2002,R+,7.41,"['Matsuoka Yuki', 'Hisakawa Aya', 'Saeki Tomo', 'Koyama Rikiya']"
3909,Absolute Duo,12,"['FUNimation Entertainment', 'Half H.P Studio', 'AT-X', '8bit', 'feng', 'Showgate']","['Action', 'Ecchi', 'Harem', 'Romance', 'School', 'Supernatural']",TV,2015,2015,R,6.79,"['Yamamoto Nozomi', 'Yamazaki Haruka', 'Matsuoka Yoshitsugu', 'Suwa Ayaka']"
986,Accel World,24,"['Sunrise', 'Genco', 'Viz Media', 'Rakuonsha', 'Warner Bros.', 'flying DOG', 'ASCII Media Works']","['Action', 'Game', 'Romance', 'School', 'Sci-Fi', 'Shounen']",TV,2012,2012,PG-13,7.71,"['Misawa Sachika', 'Kaji Yuuki', 'Toyosaki Aki', 'Asanuma Shintaro']"
1929,Accel World EX,2,"['Sunrise']","['Action', 'Game', 'Romance', 'School', 'Sci-Fi', 'Shounen']",OVA,2012,2013,PG-13,7.37,"['Misawa Sachika', 'Kaji Yuuki', 'Toyosaki Aki', 'Asanuma Shintaro']"
1170,Acchi Kocchi,1,"['None found', 'add some']","['Dementia']",Movie,1962,1962,R,7.62,"[]"
1024,Acchi Kocchi (TV) (Place to Place),12,"['AIC', 'Pony Canyon', 'TBS', 'DAX Production', 'Sentai Filmworks', 'Acchi Kocchi Production Committee', 'BS-TBS', 'Jumondo', 'Houbunsha']","['Comedy', 'Romance', 'School', 'Seinen', 'Slice of Life']",TV,2012,2012,PG-13,7.69,"['Ookubo Rumi', 'Okamoto Nobuhiko', 'Nabatame Hitomi', 'Fukuhara Kaori']"
2853,Ace wo Nerae!,26,"['Madhouse', 'Tokyo Movie Shinsha', 'Mainichi Broadcasting']","['Drama', 'Romance', 'School', 'Shoujo', 'Sports']",TV,1973,1974,PG-13,7.10,"['Kousaka Makoto', 'Ikeda Masako', 'Nakata Kouji', 'Mori Katsuji']"
2468,Aikatsu!,Unknown,"['Sunrise', 'TV Tokyo', 'Bandai Visual', 'Dentsu', 'Bandai Namco Pictures']","['Music', 'School', 'Shoujo', 'Slice of Life']",TV,2012 to ?,2012 to ?,G,7.21,"['Morohoshi Sumire', 'Kirishima Waka', 'Tadokoro Azusa', 'Uebana Fuuri', 'Ohashi Ayaka', 'Yoshikawa Sunao', 'Numakura Manami']"
3123,Ace wo Nerae! (1979) (Aim for the Ace! (1979)),1,"['Madhouse']","['Drama', 'Romance', 'School', 'Shoujo', 'Sports']",Movie,1979,1979,PG-13,7.02,"['Kousaka Makoto', 'Ikeda Masako', 'Nakata Kouji', 'Mori Katsuji']"
3680,Ace wo Nerae! 2,13,"['Bandai Visual', 'Tokyo Movie Shinsha']","['Drama', 'Shoujo', 'Sports']",OVA,1988,1988,PG-13,6.85,"['Mizutani Yuuko', 'Sakakibara Yoshiko', 'Nozawa Nachi', 'Inoue Kazuhiko']"
1802,Afro Samurai,5,"['Gonzo', 'Dentsu', 'FUNimation Entertainment', 'Victor Entertainment', 'Pony Canyon', 'Fuji TV']","['Action', 'Adventure', 'Samurai']",TV,2007,2007,R+,7.41,"[]"
1171,Afro Samurai Movie (Afro Samurai the Movie),1,"['Gonzo', 'FUNimation Entertainment']","['Action', 'Adventure', 'Samurai']",Movie,2007,2007,R+,7.62,"[]"
3751,Afro Samurai Pilot,1,"['Madhouse']","['Action', 'Martial Arts', 'Samurai', 'Seinen']",Special,2003,2003,R+,6.83,"[]"
1769,After War Gundam X,39,"['Sunrise', 'TV Asahi']","['Adventure', 'Drama', 'Mecha', 'Sci-Fi', 'Shounen', 'Space']",TV,1996,1996,PG-13,7.42,"['Takagi Wataru', 'Chiba Isshin', 'Kanai Mika', 'Horiuchi Kenyuu', 'Honda Chieko']"
3297,Agatha Christie no Meitantei Poirot to Marple,39,"['Oriental Light and Magic']","['Historical', 'Mystery']",TV,2004,2005,G,6.97,"['Satomi Koutarou', 'Nojima Hirofumi', 'Yachigusa Kaoru', 'Orikasa Fumiko']"
3958,Ai Shite Night (Rock&#039;n Roll Kids),42,"['Toei Animation']","['Comedy', 'Romance', 'Shoujo']",TV,1983,1984,PG,6.78,"['Horie Mitsuko', 'Mita Yuko', 'Sasaki Isao', 'Amenomori Masashi']"
3195,Ai Shoujo Pollyanna Monogatari,51,"['Nippon Animation']","['Drama', 'Historical', 'Slice of Life']",TV,1986,1986,G,7.00,"['Horie Mitsuko', 'Yamada Eiko', 'Miyuki Sanae', 'Nozawa Masako', 'Satou Masaharu']"
3911,Ai Tenshi Densetsu Wedding Peach (Wedding Peach),51,"['Oriental Light and Magic', 'KSS', 'ADV Films', 'NAS', 'Studio Jack']","['Adventure', 'Comedy', 'Magic', 'Romance', 'Shoujo']",TV,1995,1996,G,6.79,"['Hikami Kyouko', 'Ueda Yuji', 'Yukana', 'Miyamura Yuko']"
3819,Ai Tenshi Densetsu Wedding Peach DX (Wedding Peach DX),4,"['KSS', 'ADV Films']","['Adventure', 'Comedy', 'Magic', 'Romance', 'Shoujo']",OVA,1996,1997,G,6.81,"['Hikami Kyouko', 'Yukana', 'Miyamura Yuko']"
4704,Ai Tenshi Densetsu Wedding Peach Specials,2,"['KSS', 'Studio Jack']","['Adventure', 'Comedy', 'Magic', 'Romance', 'Shoujo']",Special,1995,1995,G,6.57,"[]"
2271,Ai Yori Aoshi,24,"['J.C.Staff', 'FUNimation Entertainment', 'Movic', 'Fuji TV', 'Pioneer LDC', 'Cosmic Ray']","['Comedy', 'Drama', 'Harem', 'Romance', 'Slice of Life']",TV,2002,2002,PG-13,7.27,"['Kawasumi Ayako', 'Hoshi Soichiro', 'Yukino Satsuki', 'Mizuhashi Kaori']"
3910,Ai no Gakko Cuore Monogatari,26,"['Nippon Animation']","['Drama', 'Historical', 'Slice of Life']",TV,1981,1981,G,6.79,"[]"
3162,Ai no Senshi Rainbowman,22,"['Tsuchida Productions']","['Action', 'Adventure', 'Mecha', 'Sci-Fi']",TV,1982,1983,PG-13,7.01,"[]"
1526,Ai no Wakakusa Monogatari (Tales of Little Women),48,"['Nippon Animation', 'Saban Entertainment']","['Drama', 'Historical', 'Slice of Life']",TV,1987,1987,G,7.49,"['Yamada Eiko', 'Shou Mayumi', 'Sakuma Rei', 'Han Keiko']"
4864,Ai no Wakakusa Yama Monogatari,12,"['Gainax']","['Comedy']",TV,1999,1999,G,6.52,"[]"
4341,Ai to Yuuki no Pig Girl Tonde Buurin (Super Pig),51,"['Nippon Animation']","['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Parody', 'Romance', 'School', 'Shoujo']",TV,1994,1995,G,6.68,"['Shiratori Yuri', 'Fuchizaki Yuriko', 'Kashiwakura Tsutomu', 'Takagi Wataru']"
555,Aikatsu! Movie,1,"['Sunrise']","['Music', 'School', 'Shoujo', 'Slice of Life']",Movie,2014,2014,G,7.97,"['Morohoshi Sumire', 'Tadokoro Azusa', 'Ohashi Ayaka', 'Numakura Manami']"
3093,Aimai Elegy,1,"['None found', 'add some']","['Music']",Music,2010,2010,PG-13,7.03,"[]"
1345,Air (Air TV),13,"['Kyoto Animation', 'ADV Films', 'FUNimation Entertainment', 'Pony Canyon', 'TBS']","['Drama', 'Romance', 'Slice of Life', 'Supernatural']",TV,2005,2005,PG-13,7.55,"['Kawakami Tomoko', 'Ono Daisuke', 'Yuzuki Ryouka', 'Okamoto Asami']"
946,Air Gear,25,"['Toei Animation', 'Marvelous Entertainment', 'ADV Films', 'FUNimation Entertainment', 'Kodansha']","['Action', 'Comedy', 'Ecchi', 'Shounen', 'Sports']",TV,2006,2006,R+,7.73,"['Kamakari Kenta', 'KENN', 'Ise Mariya', 'Kikuchi Masami']"
1627,Air Gear Special (Air Gear: Special Trick),1,"['Toei Animation']","['Shounen', 'Sports']",Special,2007,2007,R+,7.46,"[]"
2616,Air Master,27,"['Toei Animation', 'VAP', 'Nippon Television Network Corporation']","['Adventure', 'Comedy', 'Shounen']",TV,2003,2003,R,7.17,"['Park Romi', 'Asano Masumi', 'Suzuki Mariko', 'Horiuchi Kenyuu']"
1770,Air Movie (Air: The Motion Picture),1,"['Toei Animation', 'Frontier Works', 'ADV Films', 'FUNimation Entertainment', 'Visual Art&#039;s']","['Drama', 'Romance', 'Supernatural']",Movie,2005,2005,PG-13,7.42,"['Kawakami Tomoko', 'Midorikawa Hikaru', 'Nishimura Chinami', 'Konno Hiromi']"
1405,Air in Summer,2,"['Kyoto Animation', 'ADV Films', 'FUNimation Entertainment', 'Pony Canyon']","['Comedy', 'Drama', 'Historical', 'Romance', 'Supernatural']",Special,2005,2005,PG-13,7.53,"['Nishimura Chinami', 'Canna Nobutoshi', 'Inoue Kikuko']"
1193,Aishiteruze Baby★★,26,"['TMS Entertainment', 'Animax', 'Toei Video', 'Sunny Side Up']","['Comedy', 'Drama', 'Romance', 'Shoujo']",TV,2004,2004,PG-13,7.61,"['Tsuzurahara Miyu', 'Hara Fumina', 'Fujita Daisuke', 'Suzuki Masami']"
4613,Aisubeki Mirai e,1,"['None found', 'add some']","['Music']",Music,2009,2009,G,6.60,"[]"
3543,Aiura,12,"['Pony Canyon', 'Tohokushinsha Film Corporation', 'LIDENFILMS']","['Comedy', 'School', 'Shounen', 'Slice of Life']",TV,2013,2013,G,6.89,"['Tamura Nao', 'Iida Yuuko', 'Nakajima Yui']"
429,Aka-chan to Boku (Baby and Me),35,"['Studio Pierrot', 'Youmex', 'Yomiuri Advertising']","['Comedy', 'Drama', 'Shoujo']",TV,1996,1997,G,8.08,"['Sakamoto Chika', 'Yamaguchi Kappei', 'Miyamoto Mitsuru', 'Neya Michiko']"
652,Akagami no Shirayuki-hime (Snow White with the Red Hair),12,"['Bones', 'FUNimation Entertainment']","['Drama', 'Fantasy', 'Romance', 'Shoujo']",TV,2015,2015,PG-13,7.91,"['Hayami Saori', 'Osaka Ryota', 'Okamoto Nobuhiko', 'Sanpei Yuuko']"
1316,Akage no Anne (Anne of Green Gables),50,"['Nippon Animation']","['Drama', 'Historical', 'Shoujo', 'Slice of Life']",TV,1979,1979,G,7.56,"['Yamada Eiko', 'Saikachi Ryuuji', 'Kitahara Fumie', 'Takashima Gara']"
3790,Akai Ito,1,"['None found', 'add some']","['Drama', 'Romance', 'Slice of Life']",Special,  2009,  2009,G,6.82,"[]"
3299,Akai Koudan Zillion (Zillion),31,"['Production I.G', 'Victor Entertainment']","['Action', 'Adventure', 'Military', 'Sci-Fi', 'Shounen']",TV,1987,1987,PG-13,6.97,"['Seki Toshihiko', 'Mizutani Yuuko', 'Inoue Kazuhiko', 'Hayami Show']"
3257,Akakichi no Eleven,52,"['TV Tokyo', 'DOGA Productions']","['Sports']",TV,1970,1971,PG-13,6.98,"[]"
671,Akame ga Kill!,24,"['Square Enix', 'White Fox', 'Sentai Filmworks', 'TOHO animation']","['Action', 'Adventure', 'Fantasy']",TV,2014,2014,R,7.89,"['Amamiya Sora', 'Saito Soma', 'Tamura Yukari', 'Asakawa Yuu']"
3544,Akame ga Kill! Recap,1,"['White Fox', 'TOHO animation']","['Action', 'Adventure', 'Fantasy']",Special,2014,2014,R,6.89,"['Kimura Ryouhei']"
3584,Akame ga Kill! Theater,24,"['White Fox', 'C-Station', 'TOHO animation']","['Comedy']",ONA,2014,2014,PG-13,6.88,"['Amamiya Sora', 'Saito Soma', 'Tamura Yukari', 'Matsuoka Yoshitsugu']"
4040,Akaneiro ni Somaru Saka (Akane Iro ni Somaru Saka),12,"['Marvelous Entertainment', 'TNK', 'Sentai Filmworks', 'feng', 'Delphi Sound']","['Comedy', 'Harem', 'Romance', 'School']",TV,2008,2008,R+,6.76,"['Hirano Aya', 'Kugimiya Rie', 'Hatano Wataru', 'Hirohashi Ryou']"
218,Akatsuki no Yona (Yona of the Dawn),24,"['Studio Pierrot', 'FUNimation Entertainment', 'Hakusensha', 'AT-X', 'Marvelous AQL', 'Tokyo MX']","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Shoujo']",TV,2014,2015,PG-13,8.29,"['Saito Chiwa', 'Takagaki Ayahi', 'Maeno Tomoaki', 'Kobayashi Sanae', 'Okamoto Nobuhiko', 'Suwabe Junichi']"
1460,Akazukin Chacha (Red Riding Hood Chacha),74,"['Studio Gallop', 'NAS']","['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Romance', 'Shoujo']",TV,1994,1995,G,7.51,"['Suzuki Masami', 'Katori Shingo', 'Hidaka Noriko', 'Senrui Toru']"
2583,Akazukin Chacha OVA,3,"['Studio Gallop']","['Comedy', 'Fantasy', 'Magic']",OVA,1995,1996,G,7.18,"[]"
2240,Aki no Kanade,1,"['J.C.Staff']","['Music', 'School', 'Slice of Life']",Movie,2015,2015,PG-13,7.28,"['Hamada Kenji', 'Satou Rina', 'Kugimiya Rie', 'Nakahara Mai']"
4041,Akihabara Dennou-gumi,26,"['Production Reed', 'GANSIS']","['Adventure', 'Mecha', 'Sci-Fi', 'Shoujo']",TV,1998,1998,PG-13,6.76,"['Hayashibara Megumi', 'Shima Ryouka', 'Yoshizumi Kozue', 'Asakawa Yuu']"
4981,Akikan!,12,"['Brains Base', 'Half H.P Studio', 'Sentai Filmworks']","['Comedy', 'Ecchi', 'Fantasy', 'Romance']",TV,2009,2009,PG-13,6.48,"['Narita Sayaka', 'Fukuyama Jun', 'Toyosaki Aki', 'Noto Mamiko']"
369,Akira,1,"['Tokyo Movie Shinsha', 'FUNimation Entertainment', 'Mainichi Broadcasting', 'Kodansha', 'Bandai Entertainment', 'Toho Company']","['Action', 'Adventure', 'Horror', 'Military', 'Sci-Fi', 'Supernatural']",Movie,1988,1988,R+,8.13,"['Iwata Mitsuo', 'Sasaki Nozomu', 'Koyama Mami', 'Ishida Taro']"
2430,Aku no Hana (Flowers of Evil),13,"['Starchild Records', 'Animax', 'Kodansha', 'Zexcs', 'Sentai Filmworks', 'The Klock Worx', 'GANSIS']","['Drama', 'Psychological', 'Romance', 'School']",TV,2013,2013,R,7.22,"['Ise Mariya', 'Ueda Shinichirou', 'Hikasa Yoko', 'Hamazoe Shinya']"
4809,Akuma-kun,42,"['Toei Animation']","['Adventure', 'Fantasy', 'Horror', 'Magic', 'Supernatural']",TV,1989,1990,G,6.54,"['Furukawa Toshio', 'Miyuki Sanae', 'Mita Yuko', 'Tanonaka Isamu']"
3719,Akuma no Riddle (Riddle Story of Devil),12,"['Diomedea', 'FUNimation Entertainment', 'Mainichi Broadcasting', 'Pony Canyon', 'DAX Production']","['Action', 'School', 'Shoujo Ai']",TV,2014,2014,R,6.84,"['Suwa Ayaka', 'Kanemoto Hisako', 'Nanjo Yoshino', 'Ootsubo Yuka']"
5014,Akuu Daisakusen Srungle (Macron One),53,"['Kokusai Eigasha']","['Action', 'Mecha', 'Sci-Fi']",TV,1983,1984,PG-13,6.47,"[]"
862,Aldnoah.Zero,12,"['Aniplex', 'A-1 Pictures', 'Movic', 'Nitroplus', 'Aniplex of America', 'Houbunsha', 'Mages', 'TROYCA', 'Tokyo MX']","['Action', 'Mecha', 'Sci-Fi']",TV,2014,2014,R,7.78,"['Hanae Natsuki', 'Ono Kensho', 'Amamiya Sora', 'Komatsu Mikako']"
2364,Aldnoah.Zero 2nd Season,12,"['Aniplex', 'A-1 Pictures', 'Movic', 'Nitroplus', 'Aniplex of America', 'Houbunsha', 'Mages', 'TROYCA', 'Tokyo MX']","['Action', 'Mecha', 'Sci-Fi', 'Space']",TV,2015,2015,R,7.24,"['Hanae Natsuki', 'Ono Kensho', 'Amamiya Sora', 'Komatsu Mikako']"
3196,Aldnoah.Zero Extra Archives,1,"['Aniplex', 'A-1 Pictures', 'TROYCA']","['Action', 'Mecha', 'Sci-Fi']",Special,2015,2015,R,7.00,"[]"
4169,Alien 9,4,"['J.C.Staff', 'Genco', 'MediaNet', 'Central Park Media', 'Nippon Columbia']","['Horror', 'School', 'Sci-Fi']",OVA,2001,2002,R,6.73,"['Shimizu Kaori', 'Ihata Juri', 'Shitaya Noriko', 'Nakao Ryuusei']"
1835,All Alone With You,1,"['8bit', 'Sony Music Entertainment']","['Fantasy', 'Music']",Music,2013,2013,G,7.40,"[]"
1771,Allison to Lillia (Allison &amp; Lillia),26,"['Madhouse', 'Sentai Filmworks']","['Action', 'Adventure', 'Shounen']",TV,2008,2008,PG-13,7.42,"['Kuwashima Houko', 'Mizuki Nana', 'Mizuki Nana', 'Morikawa Toshiyuki', 'Kumai Motoko', 'Yoshino Hiroyuki']"
2334,Alps no Shoujo Heidi,52,"['Fuji TV']","['Drama', 'Historical', 'Slice of Life']",TV,1974,1974,PG,7.25,"['Sugiyama Kazuko', 'Miyauchi Kouhei', 'Ohara Noriko', 'Yoshida Rihoko']"
3455,Alps no Shoujo Heidi (1979) (The Story of Heidi),1,"['Nippon Animation']","['Drama', 'Historical', 'Slice of Life']",Movie,1979,1979,PG,6.92,"[]"
4206,Amaenaide yo!! (Ah My Buddha),12,"['Studio Deen', 'Right Stuf', 'Media Blasters']","['Comedy', 'Ecchi', 'Harem', 'Romance', 'Supernatural']",TV,2005,2005,R+,6.72,"['Nakahara Mai', 'Suzuki Chihiro', 'Shintani Ryouko', 'Watanabe Akeno']"
3364,Amaenaide yo!! Katsu!! (Ah My Buddha Katsu),12,"['Studio Deen', 'Right Stuf', 'Media Blasters']","['Comedy', 'Ecchi', 'Harem', 'Romance', 'Supernatural']",TV,2006,2006,R+,6.95,"['Sanada Asami', 'Nakahara Mai', 'Suzuki Chihiro', 'Shintani Ryouko']"
1112,Amagami SS+ Plus,13,"['AIC', 'TBS', 'Sentai Filmworks']","['Comedy', 'Romance', 'School', 'Slice of Life']",TV,2012,2012,PG-13,7.64,"['Itou Shizuka', 'Yukana', 'Nazuka Kaori', 'Satou Rina']"
4342,Amagami SS+ Plus Picture Drama,2,"['AIC']","['Romance']",Special,2012,2012,PG-13,6.68,"[]"
1997,Amagami SS+ Plus Specials,6,"['AIC']","['Romance']",Special,2012,2012,PG-13,7.35,"[]"
1141,Amagami SS,25,"['AIC', 'Pony Canyon', 'TBS', 'Sentai Filmworks']","['Comedy', 'Romance', 'School', 'Slice of Life']",TV,2010,2010,PG-13,7.63,"['Itou Shizuka', 'Yukana', 'Nazuka Kaori', 'Satou Rina']"
1836,Amagami SS OVA,6,"['AIC']","['Romance', 'School']",OVA,2011,2011,PG-13,7.40,"['Itou Shizuka', 'Yukana', 'Nazuka Kaori', 'Satou Rina']"
884,Amagi Brilliant Park,13,"['Kyoto Animation', 'Avex Entertainment', 'TBS', 'DAX Production', 'Sentai Filmworks', 'flying DOG', 'Mobcast']","['Comedy', 'Magic']",TV,2014,2014,PG-13,7.77,"['Kakuma Ai', 'Uchiyama Kouki', 'Fujii Yukiyo', 'Nonaka Ai']"
2916,Amatsuki,13,"['Studio Deen', 'Frontier Works']","['Action', 'Fantasy', 'Historical', 'Supernatural']",TV,2008,2008,PG-13,7.08,"['Fukuyama Jun', 'Yusa Kouji', 'Park Romi', 'Suwabe Junichi']"
3912,Amazing Nuts!,4,"['Studio 4°C']","['Adventure', 'Music', 'Police', 'Romance', 'Sci-Fi']",Music,2006,2006,G,6.79,"['Kitamura Eri']"
4042,Anemone,1,"['None found', 'add some']","['Drama', 'Magic', 'Supernatural']",OVA,2011,2011,PG-13,6.76,"[]"
4573,Amnesia OVA,1,"['Brains Base']","['Fantasy', 'Shoujo']",OVA,2013,2013,PG-13,6.61,"['Miyata Kouki', 'Kakihara Tetsuya', 'Hino Satoshi', 'Taniyama Kishou']"
1837,Andersen Douwa Ningyo Hime,1,"['Toei Animation', 'Discotek']","['Fantasy', 'Romance', 'Shoujo']",Movie,1975,1975,G,7.40,"['Kashiyama Fumie', 'Miyagi Mariko', 'Shigaki Taro', 'Asou Miyoko']"
3420,Andes Shounen Pepero no Bouken (Adventures of Pepero the Andes Boy),26,"['Wako Productions']","['Adventure']",TV,1975,1976,PG,6.93,"['Suzuki Hiroko']"
4614,Android Ana Maico 2010 (Android Announcer Maico 2010),24,"['Group TAC', 'Pony Canyon', 'Animate Film', 'Movic']","['Comedy', 'Drama', 'Sci-Fi', 'Seinen']",TV,1998,1998,PG-13,6.60,"['Tange Sakura', 'Okiayu Ryotaro', 'Narita Ken', 'Kosugi Mitsuru']"
039;s</a>,     <a href="http://myanimelist.net/anime.php?p=376">Sentai Filmworks</a>,Angel Beats!,13,"['Aniplex', 'Dentsu', 'Key', 'P.A. Works', 'Mainichi Broadcasting', 'CBC', 'Movic', 'Visual Art&#039;s', 'Sentai Filmworks', 'ASCII Media Works']","['Action', 'Comedy', 'Drama', 'School', 'Supernatural']",TV,2010,2010,PG-13,8.47,"['Hanazawa Kana', 'Sakurai Harumi', 'Kamiya Hiroshi', 'Kimura Ryouhei']"
039;s</a>,     <a href="http://myanimelist.net/anime.php?p=376">Sentai Filmworks</a>,Angel Beats! Specials,2,"['Aniplex', 'Key', 'P.A. Works', 'Visual Art&#039;s', 'Sentai Filmworks']","['Action', 'Comedy', 'School', 'Supernatural']",Special,2010,2015,PG-13,7.85,"['Kitamura Eri', 'Sakurai Harumi', 'Kamiya Hiroshi', 'Rivas Michael']"
1277,Angel Densetsu,2,"['Toei Animation']","['Action', 'Comedy', 'School']",OVA,1996,1996,R,7.58,"['Tobita Nobuo', 'Tsukui Kyousei', 'Ishii Kouji', 'Sakurai Tomo']"
1898,Angel Heart,50,"['Aniplex', 'TMS Entertainment']","['Action', 'Drama', 'Mystery', 'Romance', 'Seinen']",TV,2005,2006,PG-13,7.38,"['Kaneda Tomoko', 'Kawasaki Mao', 'Nojima Hirofumi', 'Arimoto Kinryuu', 'Kamiya Akira', 'Ikura Kazue']"
