Rank,Title,Episodes,Producers,Genres,Type,PremieredYear,ENDYear,Rating,Score,VoiceActors
2486,Mahoromatic 2 End Year Special,1,"['Gainax']","['Comedy', 'Ecchi', 'Military', 'Romance', 'Sci-Fi']",Special,  2002,  2002,R+,7.21,"[]"
2875,Mahoromatic End Year Special,1,"['Gainax', 'Shaft']","['Comedy', 'Ecchi', 'Military', 'Romance', 'Sci-Fi']",Special,2001,2001,R+,7.10,"['Kawasumi Ayako']"
2225,Mahoromatic Summer Special,1,"['Gainax', 'Shaft', 'Sentai Filmworks']","['Comedy', 'Ecchi', 'Romance', 'Sci-Fi']",Special,2003,2003,R+,7.29,"['Kawasumi Ayako', 'Takimoto Fujiko', 'Shimizu Ai', 'Noda Keiichi']"
2669,Mahou Sensei Negima! (Negima!),26,"['Xebec', 'Starchild Records', 'FUNimation Entertainment']","['Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Magic', 'Romance', 'School', 'Shounen', 'Super Power', 'Supernatural']",TV,2005,2005,PG-13,7.16,"['Satou Rina', 'Noto Mamiko', 'Kanda Akemi', 'Kuwatani Natsuko']"
3499,Mahou Sensei Negima! Anime Final,1,"['Shaft', 'Studio Pastoral']","['Adventure', 'Magic', 'Supernatural']",Movie,2011,2011,PG-13,6.91,"['Satou Rina', 'Matsuoka Yuki', 'Noto Mamiko', 'Kobayashi Yuu']"
3345,Mahou Sensei Negima! Introduction Film,3,"['Xebec']","['Action', 'Comedy', 'Ecchi', 'Harem', 'Romance', 'Supernatural']",OVA,2004,2005,R+,6.96,"['Satou Rina', 'Noto Mamiko', 'Kanda Akemi']"
1128,Mai-HiME (My-Hime),26,"['Sunrise', 'FUNimation Entertainment', 'Bandai Entertainment', 'TV Tokyo Music', 'Studio Zain']","['Action', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Mecha', 'Romance', 'School', 'Shoujo Ai']",TV,2004,2005,PG-13,7.64,"['Chiba Saeko', 'Nakahara Mai', 'Shimizu Ai', 'Shindo Naomi']"
642,Mahou Sensei Negima! Mou Hitotsu no Sekai,4,"['Shaft', 'Studio Pastoral']","['Action', 'Adventure', 'Ecchi', 'Magic', 'Shounen', 'Supernatural']",OVA,2009,2010,PG-13,7.91,"['Satou Rina', 'Matsuoka Yuki', 'Noto Mamiko', 'Kobayashi Yuu']"
980,Mahou Sensei Negima! Shiroki Tsubasa Ala Alba,3,"['Shaft']","['Adventure', 'Comedy', 'Ecchi', 'Harem', 'Magic', 'Romance', 'Shounen', 'Supernatural', 'Vampire']",OVA,2008,2009,PG-13,7.72,"['Satou Rina', 'Matsuoka Yuki', 'Noto Mamiko', 'Kobayashi Yuu']"
2345,Mahou Senshi Louie (Rune Soldier),24,"['J.C.Staff', 'ADV Films']","['Adventure', 'Comedy', 'Fantasy', 'Magic', 'Shounen']",TV,2001,2001,PG-13,7.25,"['Konishi Katsuyuki', 'Takayama Minami', 'Kawakami Tomoko', 'Inoue Kikuko']"
