ID,Rank,Title,Episodes,Producers,Type,PremieredYear,ENDYear,Rating,Score,VoiceActors,,
23,34,Howl no Ugoku Shiro (Howl&#039;s Moving Castle),1,"['Studio Ghibli', 'd-rights', 'Tokuma Shoten', 'Walt Disney Studios']",Movie,2004,2004,G,8.73,"['Kimura Takuya', 'Baisho Chieko', 'Gashuin Tatsuya', 'Oizumi Yo']",,
24,36,Kuroko no Basket 3rd Season,25,"['Production I.G', 'Bandai Visual', 'Lantis', 'NAS', 'Banpresto']",TV,2015,2015,PG-13,8.72,"['Ono Kensho', 'Ono Yuuki', 'Suwabe Junichi', 'Kamiya Hiroshi']",,
25,38,Shokugeki no Souma (Food Wars! Shokugeki no Soma),24,"['J.C.Staff', 'Mainichi Broadcasting', 'Sentai Filmworks']",TV,2015,2015,PG-13,8.71,"['Matsuoka Yoshitsugu', 'Takahashi Minami', 'Taneda Risa', 'Akasaki Chinatsu']",,
26,39,Aria The Origination,13,"['Hal Film Maker', 'Right Stuf']",TV,2008,2008,G,8.7,"['Hazuki Erino', 'Hirohashi Ryou', 'Ohara Sayaka', 'Saito Chiwa']",,
27,40,Ping Pong The Animation,11,"['Aniplex', 'Dentsu', 'FUNimation Entertainment', 'Tatsunoko Productions', 'Fuji TV']",TV,2014,2014,PG-13,8.7,"['Uchiyama Kouki', 'Satomura Hiroshi', 'Katayama Fukujurou', 'Nishida Mitsutaka', 'Bun Yousei', 'Sakuya Shunsuke']",,
28,42,Kuroko no Basket 2nd Season (Kuroko&#039;s Basketball 2),25,"['Production I.G', 'Bandai Visual', 'Lantis', 'NAS', 'Banpresto']",TV,2013,2014,PG-13,8.68,"['Ono Kensho', 'Ono Yuuki', 'Kaiden Michiko', 'Suwabe Junichi', 'Kamiya Hiroshi']",,
29,43,Natsume Yuujinchou San (Natsume&#039;s Book of Friends Three),13,"['Aniplex', 'Brains Base', 'NIS America', 'Inc.', 'Sakura Create']",TV,2011,2011,PG-13,8.68,"['Kamiya Hiroshi', 'Fujimura Ayumi', 'Inoue Kazuhiko', 'Kobayashi Sanae', 'Yajima Akiko']",,
30,44,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,11,"['Aniplex', 'Dentsu', 'A-1 Pictures', 'Fuji TV', 'NIS America', 'Inc.', 'Fuji Pacific Music Publishing']",TV,2011,2011,PG-13,8.67,"['Kayano Ai', 'Irino Miyu', 'Tamura Mutsumi', 'Tomatsu Haruka', 'Toyosaki Aki', 'Kondou Takayuki']",,
31,45,Haikyuu!! (Haikyu!!),25,"['Production I.G', 'Mainichi Broadcasting', 'Sentai Filmworks', 'TOHO animation']",TV,2014,2014,PG-13,8.67,"['Ishikawa Kaito', 'Murase Ayumu', 'Okamoto Nobuhiko', 'Namikawa Daisuke']",,
32,46,Owarimonogatari,12,['Shaft'],TV,2015,2015,R,8.67,"['Kamiya Hiroshi', 'Mizuhashi Kaori', 'Inoue Marina', 'Saito Chiwa']",,
33,47,Hotarubi no Mori e,1,"['Aniplex', 'Brains Base']",Movie,2011,2011,G,8.66,"['Uchiyama Kouki', 'Sakura Ayane', 'Sawada Izumi']",,
34,49,Shingeki no Kyojin (Attack on Titan),25,"['Production I.G', 'FUNimation Entertainment', 'Mainichi Broadcasting', 'Pony Canyon', 'Kodansha', 'Mad Box', 'Pony Canyon Enterprises', 'Wit Studio', 'Shingeki no Kyojin Team']",TV,2013,2013,R,8.66,"['Ishikawa Yui', 'Kaji Yuuki', 'Inoue Marina', 'Kamiya Hiroshi']",,
35,51,Zoku Natsume Yuujinchou (Natsume&#039;s Book of Friends Sequel),13,"['Aniplex', 'Brains Base', 'NIS America', 'Inc.']",TV,2009,2009,PG-13,8.66,"['Kamiya Hiroshi', 'Fujimura Ayumi', 'Inoue Kazuhiko', 'Kobayashi Sanae', 'Kobayashi Sanae', 'Horie Kazuma']",,
36,54,Yojouhan Shinwa Taikei (The Tatami Galaxy),11,"['Madhouse', 'Dentsu', 'FUNimation Entertainment', 'Kadokawa Shoten', 'Fuji TV', 'Toho Company', 'Asmik Ace Entertainment', 'Sony Music Entertainment', 'Fuji Pacific Music Publishing']",TV,2010,2010,PG-13,8.65,"['Asanuma Shintaro', 'Sakamoto Maaya', 'Yoshino Hiroyuki', 'Fujiwara Keiji']",,
37,55,Hellsing Ultimate,10,"['Madhouse', 'Geneon Universal Entertainment', 'Satelight', 'FUNimation Entertainment', 'StudioRF Inc.', 'Graphinica']",OVA,2006,2012,R,8.64,"['Nakata Jouji', 'Orikasa Fumiko', 'Wakamoto Norio', 'Mizuhashi Kaori', 'Sakakibara Yoshiko']",,
38,60,One Piece,Unknown,"['Toei Animation', 'FUNimation Entertainment', 'Fuji TV', '4Kids Entertainment', 'TAP']",TV,1999 to ?,1999 to ?,PG-13,8.62,"['Tanaka Mayumi', 'Nakai Kazuya', 'Urawa Megumi', 'Hirata Hiroaki', 'Ootani Ikue', 'Yamaguchi Yuriko', 'Kobayashi Yuko']",,
39,61,One Punch Man,12,"['Madhouse', 'TV Tokyo', 'Viz Media']",TV,2015 to ?,2015 to ?,R,8.62,"['Furukawa Makoto', 'Ishikawa Kaito', 'Kaji Yuuki', 'Nakamura Yuuichi']",,
40,62,Uchuu Kyoudai (Space Brothers),99,"['Aniplex', 'Dentsu', 'A-1 Pictures', 'YTV', 'Sentai Filmworks', 'Japan Aerospace Exploration Agency', 'Trinity Sound']",TV,2012,2014,PG-13,8.62,"['Sawashiro Miyuki', 'Hirata Hiroaki', 'Sanpei Yuuko', 'KENN', 'Sawashiro Miyuki', 'Sawashiro Miyuki']",,
41,63,Major S5,25,"['NHK', 'SynergySP']",TV,2009,2009,PG-13,8.61,"['Morikubo Showtaro', 'Kumai Motoko', 'Morita Masakazu', 'Sasamoto Yuuko', 'Yasumura Makoto']",,
42,64,Hotaru no Haka (Grave of the Fireflies),1,"['Studio Ghibli', 'ADV Films', 'Central Park Media', 'Sentai Filmworks']",Movie,1988,1988,PG-13,8.6,"['Shiraishi Ayano', 'Tatsumi Tsutomu']",,
43,65,Kingdom 2nd Season,39,"['Studio Pierrot', 'NHK']",TV,2013,2014,R,8.6,"['Morita Masakazu', 'Hikasa Yoko', 'Fukuyama Jun', 'Nojima Hirofumi']",,
