ID,Rank,Title,Episodes,Producers,Type,PremieredYear,ENDYear,Rating,Score,VoiceActors,,
475,716,Seikai no Senki III,2,"['Sunrise', 'Bandai Visual', 'BeSTACK']",OVA,2005,2005,PG-13,7.87,"['Kawasumi Ayako', 'Imai Yuka', 'Shimizu Kaori', 'Saiga Mitsuki']",,
476,718,Tokyo Ravens,24,"['Geneon Universal Entertainment', 'FUNimation Entertainment', 'Movic', '8bit', 'Bushiroad Inc.', 'Showgate', 'Tokyo MX']",TV,2013,2014,PG-13,7.87,"['Hanazawa Kana', 'Taneda Risa', 'Ishikawa Kaito', 'Kimura Ryouhei', 'Toyosaki Aki']",,
477,719,Top wo Nerae 2! Diebuster (Gunbuster 2),6,"['Gainax', 'Bandai Visual', 'Discotek']",OVA,2004,2006,R+,7.87,"['Fukui Yukari', 'Sakamoto Maaya', 'Sawashiro Miyuki', 'Yamazaki Takumi']",,
478,721,Bakemono no Ko (The Boy and the Beast),1,"['FUNimation Entertainment', 'Kadokawa Shoten', 'Toho Company', 'Studio Chizu', 'Nippon Television Network Corporation']",Movie,2015,2015,None,7.86,"['Yakusho Koji', 'Hirose Suzu', 'Miyazaki Aoi', 'Sometani Shota', 'Miyano Mamoru', 'Kuroki Haru']",,
479,722,Bounen no Xamdou (Xam&#039;d: Lost Memories),26,"['Bones', 'Aniplex', 'Half H.P Studio', 'Sentai Filmworks']",ONA,2008,2009,PG-13,7.86,"['Sanpei Yuuko', 'Abe Atsushi', 'Orikasa Fumiko', 'Fujiwara Keiji']",,
480,723,Chi&#039;s Sweet Home,104,"['Madhouse', 'TV Tokyo', 'Discotek']",TV,2008,2008,G,7.86,"['Koorogi Satomi', 'Kozakura Etsuko', 'Kiuchi Hidenobu', 'Hidaka Noriko']",,
481,724,Digimon Adventure,54,"['Toei Animation', 'Yomiko Advertising', 'Fuji TV', 'Flatiron Film Company']",TV,1999,2000,PG,7.86,"['Fujita Toshiko', 'Kazama Yuuto', 'Konishi Hiroko', 'Araki Kae']",,
482,725,Full Metal Panic!,24,"['Gonzo', 'ADV Films', 'FUNimation Entertainment', 'Kadokawa Shoten']",TV,2002,2002,R,7.86,"['Seki Tomokazu', 'Yukino Satsuki', 'Yukana', 'Miki Shinichiro']",,
483,727,Jin-Rou (Jin-Roh: The Wolf Brigade),1,"['Production I.G', 'Bandai Entertainment', 'Discotek']",Movie,1998,1998,R,7.86,"['Fujiki Yoshikatsu', 'Mutou Sumi', 'Kinoshita Hiroyuki']",,
484,728,Kill la Kill Special,1,"['Aniplex', 'Kadokawa Shoten', 'Aniplex of America', 'Trigger']",Special,2014,2014,R,7.86,"['Koshimizu Ami', 'Yuzuki Ryouka', 'Suzaki Aya', 'Fujimura Ayumi']",,
485,729,Kore wa Zombie Desu ka? of the Dead (Is this A Zombie? of the Dead),10,"['Studio Deen', 'FUNimation Entertainment', 'Kadokawa Shoten', 'AT-X', 'Kadokawa Pictures Japan', 'The Klock Worx', 'flying DOG']",TV,2012,2012,R,7.86,"['Horie Yui', 'Koyama Kimiko', 'Majima Junji', 'Hikasa Yoko', 'Kanemoto Hisako']",,
486,730,Minami-ke,13,"['Daume', 'Starchild Records', 'Magic Capsule', 'Eye Move', 'Sunny Side Up']",TV,2007,2007,PG-13,7.86,"['Inoue Marina', 'Chihara Minori', 'Satou Rina', 'Ono Daisuke']",,
487,732,Special A (Special A (S.A)),24,"['Gonzo', 'AIC', 'Sentai Filmworks', 'Showgate']",TV,2008,2008,PG-13,7.86,"['Fukuyama Jun', 'Gotou Yuuko', 'Shimono Hiro', 'Horie Kazuma']",,
488,733,Yume-iro Pâtissière SP Professional,13,['Studio Pierrot'],TV,2010,2010,G,7.86,"['Yuuki Aoi', 'Okamoto Nobuhiko', 'Taketatsu Ayana', 'Suyama Akio']",,
489,736,Daa! Daa! Daa!,78,['J.C.Staff'],TV,2000,2002,G,7.85,"['Sanpei Yuuko', 'Kanai Mika', 'Nazuka Kaori', 'Chiba Chiemi']",,
490,740,Jigoku Shoujo Mitsuganae (Hell Girl: Three Vessels),26,"['Aniplex', 'Studio Deen', 'Sentai Filmworks', 'Tokyo MX']",TV,2008,2009,R,7.85,"['Noto Mamiko', 'Matsukaze Masaya', 'Honda Takako', 'Sakai Kanako']",,
491,741,Macross Plus,4,['Studio Nue'],OVA,1994,1995,R,7.85,"['Yamazaki Takumi', 'Ishizuka Unshou', 'Fukami Rica', 'Hyoudou Mako']",,
492,742,Memories,3,"['Madhouse', 'Studio 4°C']",Movie,1995,1995,PG-13,7.85,"['Hori Hideyuki', 'Isobe Tsutomu', 'Yamadera Kouichi']",,
493,743,Space Cobra (Space Adventure Cobra),31,"['Tokyo Movie Shinsha', 'Right Stuf']",TV,1982,1983,R+,7.85,"['Nozawa Nachi', 'Sakakibara Yoshiko', 'Kobayashi Kiyoshi', 'Shibata Hidekatsu']",,
494,746,Chrno Crusade (Chrono Crusade),24,"['Gonzo', 'ADV Films', 'FUNimation Entertainment', 'Lantis', 'Kadokawa Shoten', 'Fuji TV']",TV,2003,2004,R,7.84,"['Ishida Akira', 'Kawakami Tomoko', 'Chiba Saeko', 'Neya Michiko']",,
495,747,Eikoku Koi Monogatari Emma (Emma: A Victorian Romance),12,"['Studio Pierrot', 'Pony Canyon', 'TBS', 'Right Stuf', 'Toshiba Entertainment']",TV,2005,2005,G,7.84,"['Touma Yumi', 'Kawashima Tokuyoshi', 'Ueda Yuji', 'Kobayashi Sanae']",,
496,749,Fruits Basket,26,"['Studio Deen', 'FUNimation Entertainment']",TV,2001,2001,PG-13,7.84,"['Seki Tomokazu', 'Ikeda Kyousuke', 'Horie Yui', 'Hisakawa Aya', 'Okiayu Ryotaro']",,
497,750,Hetalia Axis Powers,52,"['Studio Deen', 'Frontier Works', 'FUNimation Entertainment', 'DAX Production']",ONA,2009,2010,PG-13,7.84,"['Sugiyama Noriaki', 'Namikawa Daisuke', 'Konishi Katsuyuki', 'Iwamura Aiko', 'Takato Yasuhiro']",,
498,751,Hidamari Sketch x 365 Specials,3,"['Shaft', 'Lantis']",Special,2009,2009,PG-13,7.84,"['Mizuhashi Kaori', 'Asumi Kana', 'Shintani Ryouko', 'Gotou Yuuko']",,
499,752,Hoozuki no Reitetsu (Hozuki no Reitetsu),13,"['Starchild Records', 'Mainichi Broadcasting', 'Kodansha', 'Sentai Filmworks', 'Wit Studio']",TV,2014,2014,PG-13,7.84,"['Yasumoto Hiroki', 'Nagasako Takashi', 'Yusa Kouji', 'Kobayashi Yumiko']",,
500,753,Jigoku Shoujo (Hell Girl),26,"['Aniplex', 'Studio Deen', 'FUNimation Entertainment', 'SKY Perfect Well Think']",TV,2005,2006,R,7.84,"['Noto Mamiko', 'Matsukaze Masaya', 'Honda Takako', 'Sugou Takayuki']",,
501,754,Mitsudomoe Zouryouchuu!,8,"['Lantis', 'Bridge', 'Cospa', 'Studio Mausu']",TV,2011,2011,PG-13,7.84,"['Tomatsu Haruka', 'Akesaka Satomi', 'Takagaki Ayahi', 'Shimono Hiro']",,
502,755,Nobunaga Concerto,10,['Fuji TV'],TV,2014,2014,PG-13,7.84,"['Miyano Mamoru', 'Kaji Yuuki', 'Nakamura Yuuichi', 'Mizuki Nana']",,
503,756,Over Drive,26,"['Xebec', 'Pony Canyon']",TV,2007,2007,PG-13,7.84,"['Kaji Yuuki', 'Taniyama Kishou', 'Yasumura Makoto', 'Nazuka Kaori']",,
504,757,Shakugan no Shana II (Second) (Shakugan no Shana: Season II),24,"['J.C.Staff', 'Geneon Universal Entertainment', 'FUNimation Entertainment', 'ASCII Media Works']",TV,2007,2008,PG-13,7.84,"['Kugimiya Rie', 'Hino Satoshi', 'Kawasumi Ayako', 'Itou Shizuka']",,
505,760,Tonari no Kaibutsu-kun (My Little Monster),13,"['TV Tokyo', 'Aniplex', 'Brains Base', 'NAS', 'Kodansha', 'NIS America', 'Inc.']",TV,2012,2012,PG-13,7.84,"['Suzuki Tatsuhisa', 'Tomatsu Haruka', 'Tanezaki Atsumi', 'Kitamura Eri', 'Terashima Takuma']",,
506,761,Working!! (Wagnaria!!),13,"['Aniplex', 'A-1 Pictures', 'Rakuonsha', 'NIS America', 'Inc.']",TV,2010,2010,PG-13,7.84,"['Hirohashi Ryou', 'Fujita Saki', 'Asumi Kana', 'Ono Daisuke']",,
507,762,Aria The Animation,13,"['Hal Film Maker', 'Right Stuf']",TV,2005,2005,G,7.83,"['Hazuki Erino', 'Hirohashi Ryou', 'Ohara Sayaka', 'Saito Chiwa']",,
508,763,Blood+,50,"['Production I.G', 'Aniplex', 'Mainichi Broadcasting']",TV,2005,2006,R,7.83,"['Konishi Katsuyuki', 'Kitamura Eri', 'Yoshino Hiroyuki', 'Yajima Akiko']",,
509,766,Gakuen Alice,26,"['Aniplex', 'Group TAC', 'Sogo Vision', 'Right Stuf']",TV,2004,2005,G,7.83,"['Park Romi', 'Ueda Kana', 'Kugimiya Rie', 'Yasuda Miwa']",,
510,768,Ichigo Mashimaro Encore (Strawberry Marshmallow Encore),2,['Daume'],OVA,2009,2009,PG-13,7.83,"['Orikasa Fumiko', 'Nabatame Hitomi', 'Chiba Saeko', 'Noto Mamiko']",,
511,769,Inu x Boku SS Special (Inu X Boku Secret Service Special),1,"['Aniplex', 'David Production', 'Sentai Filmworks']",Special,2012,2012,PG-13,7.83,"['Nakamura Yuuichi', 'Hidaka Rina', 'Hanazawa Kana', 'Miyano Mamoru']",,
512,771,Ojamajo Doremi Na-i-sho,13,['Toei Animation'],OVA,2004,2004,G,7.83,"['Chiba Chiemi', 'Shishido Rumi', 'Miyahara Nami', 'Matsuoka Yuki']",,
513,773,Shaman King,64,"['TV Tokyo', 'Xebec', 'NAS', '4Kids Entertainment', 'TV Tokyo Music']",TV,2001,2002,PG-13,7.83,"['Sato Yuko', 'Takayama Minami', 'Midorikawa Hikaru', 'Park Romi', 'Hayashibara Megumi']",,
514,774,To LOVE-Ru Darkness 2nd,12,"['Xebec', 'Magic Capsule', 'Sentai Filmworks']",TV,2015,2015,R+,7.83,"['Toyosaki Aki', 'Fukuen Misato', 'Watanabe Akeno', 'Iguchi Yuka']",,
515,775,Boku wa Tomodachi ga Sukunai Next (Haganai Next),12,"['FUNimation Entertainment', 'Media Factory', 'TBS', 'Magic Capsule', 'AIC Build', 'Good Smile Company']",TV,2013,2013,R+,7.82,"['Itou Kanae', 'Inoue Marina', 'Sakura Ayane', 'Fukuen Misato', 'Kimura Ryouhei', 'Seri Akiko']",,
516,777,Hakuouki Sekkaroku,6,"['Studio Deen', 'Sentai Filmworks']",OVA,2011,2012,PG-13,7.82,"['Toriumi Kousuke', 'Morikubo Showtaro', 'Miki Shinichiro', 'Yusa Kouji']",,
517,778,Hayate no Gotoku! (Hayate the Combat Butler),52,"['TV Tokyo', 'Shogakukan Productions', 'SynergySP', 'Studio Tulip', 'Bandai Entertainment', 'Sentai Filmworks']",TV,2007,2008,PG-13,7.82,"['Shiraishi Ryoko', 'Kugimiya Rie', 'Tanaka Rie', 'Itou Shizuka']",,
518,779,Ichigo Mashimaro (Strawberry Marshmallow),12,"['Daume', 'TBS', 'Movic', 'Production Reed']",TV,2005,2005,PG-13,7.82,"['Orikasa Fumiko', 'Nabatame Hitomi', 'Chiba Saeko', 'Noto Mamiko']",,
519,780,Itazura na Kiss,25,"['Bandai Visual', 'TMS Entertainment', 'Discotek', 'Trinity Sound']",TV,2008,2008,PG-13,7.82,"['Mizuki Nana', 'Hirakawa Daisuke', 'Matsui Naoko', 'Park Romi']",,
520,781,Kochira Katsushikaku Kameari Kouenmae Hashutsujo (TV),373,"['Studio Gallop', 'Asatsu DK', 'Fuji TV']",TV,1996,2004,PG-13,7.82,"['Ishii LaSalle', 'Miyamoto Mitsuru', 'Morio Yumi', 'Asou Kaori']",,
521,784,Macross Plus Movie Edition,1,['Studio Nue'],Movie,1995,1995,PG-13,7.82,"['Yamazaki Takumi', 'Ishizuka Unshou', 'Fukami Rica', 'Hyoudou Mako']",,
522,786,Panty &amp; Stocking with Garterbelt,13,"['Gainax', 'FUNimation Entertainment', 'Kadokawa Shoten', 'Half H.P Studio', 'AT-X', 'Kadokawa Pictures Japan', 'The Klock Worx', 'flying DOG', 'Kadokawa Contents Gate']",TV,2010,2010,R,7.82,"['Ise Mariya', 'Ogasawara Arisa', 'Yoshino Hiroyuki', 'Ishii Kouji']",,
523,790,Servant x Service,13,"['Aniplex', 'A-1 Pictures', 'Half H.P Studio', 'Aniplex of America']",TV,2013,2013,PG-13,7.82,"['Suzuki Tatsuhisa', 'Kayano Ai', 'Toyosaki Aki', 'Nakahara Mai']",,
524,792,Tenkuu no Escaflowne (The Vision of Escaflowne),26,"['Sunrise', 'FUNimation Entertainment', 'Bandai Entertainment']",TV,1996,1996,PG-13,7.82,"['Seki Tomokazu', 'Sakamoto Maaya', 'Miki Shinichiro', 'Takayama Minami']",,
525,793,Urusei Yatsura,195,"['Studio Pierrot', 'Studio Deen', 'Kitty Films', 'Animeigo']",TV,1981,1986,PG-13,7.82,"['Hirano Fumi', 'Furukawa Toshio', 'Caprio Mino', 'Kamiya Akira', 'Shimazu Saeko']",,
526,794,Utawarerumono Specials,6,"['Oriental Light and Magic', 'Lantis']",Special,2006,2007,PG-13,7.82,"['Yuzuki Ryouka', 'Koyama Rikiya', 'Miyake Kaya']",,
527,795,Zero no Tsukaima F (Familiar of Zero F),12,"['J.C.Staff', 'Sentai Filmworks', 'Cospa', 'Showgate']",TV,2012,2012,PG-13,7.82,"['Kugimiya Rie', 'Hino Satoshi', 'Inokuchi Yuka', 'Noto Mamiko']",,
528,797,D-Frag! (D-Fragments!),12,"['FUNimation Entertainment', 'Media Factory', 'Brains Base', 'Kadokawa Shoten']",TV,2014,2014,PG-13,7.81,"['Hanazawa Kana', 'Itou Shizuka', 'Konishi Katsuyuki', 'Takahashi Mikako']",,
529,801,Hourou Musuko (Wandering Son),11,"['Aniplex', 'AIC', 'Dentsu', 'Fuji TV', 'Magic Capsule', 'Enterbrain']",TV,2011,2011,PG-13,7.81,"['Hatakeyama Kousuke', 'Nanri Yuuka', 'Seto Asami', 'Horie Yui']",,
530,802,Minami-ke Tadaima,13,"['Feel', 'FUNimation Entertainment']",TV,2013,2013,PG-13,7.81,"['Inoue Marina', 'Chihara Minori', 'Satou Rina', 'Ono Daisuke']",,
531,803,Momo e no Tegami (A Letter to Momo),1,"['Production I.G', 'GKids']",Movie,2011,2011,G,7.81,"['Cho', 'Miyama Karen', 'Nishida Toshiyuki', 'Yamadera Kouichi']",,
532,804,Nurarihyon no Mago (Nura: Rise of the Yokai Clan),24,"['Studio Deen', 'Yomiuri Telecasting Corporation', 'Viz Media', 'Yomiko Advertising', 'Pony Canyon', 'Toho Company']",TV,2010,2010,PG-13,7.81,"['Fukuyama Jun', 'Horie Yui', 'Maeda Ai', 'Hirano Aya']",,
533,805,R.O.D OVA,3,"['Aniplex', 'Studio Deen', 'SME Visual Works', 'Aniplex of America']",OVA,2001,2002,PG-13,7.81,"['Miura Rieko', 'Neya Michiko', 'Iwasaki Masami', 'Gouda Hozumi']",,
534,806,Shakugan no Shana (Shakugan no Shana: Season I),24,"['J.C.Staff', 'Geneon Universal Entertainment', 'FUNimation Entertainment', 'Toshiba Entertainment', 'Cosmic Ray', 'Showgate']",TV,2005,2006,PG-13,7.81,"['Kugimiya Rie', 'Hino Satoshi', 'Kawasumi Ayako', 'Itou Shizuka']",,
535,807,Space☆Dandy (Space Dandy),13,"['Bones', 'Bandai Visual', 'FUNimation Entertainment', 'flying DOG', 'Bandai Namco Games']",TV,2014,2014,PG-13,7.81,"['Suwabe Junichi', 'Yoshino Hiroyuki', 'Satake Uki', 'Hanazawa Kana']",,
536,808,Tenchi Muyou! Ryo-Ohki 2,6,"['AIC', 'Pioneer LDC']",OVA,1994,1995,R+,7.81,"['Orikasa Ai', 'Kobayashi Yuko', 'Kikuchi Masami', 'Yokoyama Chisa']",,
537,809,Toaru Hikuushi e no Tsuioku (The Princess and the Pilot),1,"['Madhouse', 'TV Tokyo', 'TMS Entertainment', 'Movic', 'NIS America', 'Inc.', 'Cyclone Graphics inc']",Movie,2011,2011,PG-13,7.81,"['Kamiki Ryunosuke', 'Yoshinaga Takuto', 'Morohoshi Sumire', 'Taketomi Seika', 'Chou Katsumi', 'Niizuma Seiko']",,
538,814,Gakkougurashi! (School-Live!),12,"['Sentai Filmworks', 'Lerche', 'Nitroplus', 'NBCUniversal Entertainment']",TV,2015,2015,R,7.8,"['Ozawa Ari', 'Minase Inori', 'Takahashi Rie', 'Ichimichi Mao']",,
539,816,Jungle wa Itsumo Hare nochi Guu Final,7,"['Bandai Visual', 'Shin-Ei Animation']",OVA,2003,2004,PG-13,7.8,"['Watanabe Naoko', 'Aikawa Rikako', 'Morota Kaoru', 'Madono Mitsuaki']",,
540,821,Mahouka Koukou no Rettousei (The irregular at magic high school),26,"['Madhouse', 'Aniplex', 'Movic', 'Aniplex of America', 'ASCII Media Works']",TV,2014,2014,R,7.8,"['Nakamura Yuuichi', 'Hayami Saori', 'Hanazawa Kana', 'Uchiyama Yumi']",,
541,822,Majin Tantei Nougami Neuro (Neuro: Supernatural Detective),25,"['Madhouse', 'VAP']",TV,2007,2008,R,7.8,"['Koyasu Takehito', 'Ueda Kana', 'Park Romi', 'Yoshino Hiroyuki']",,
542,824,Poyopoyo Kansatsu Nikki (Poyopoyo),52,"['Studio Deen', 'DAX Production', 'Dream Creation', 'Möbius Tone']",TV,2012,2012,PG,7.8,"['Ootani Ikue', 'Kamiya Akira', 'Mimori Suzuko', 'Ichinose Hidekazu']",,
543,825,Ranma ½ Special,2,"['Gainax', 'Studio Deen', 'Viz Media', 'Pony Canyon', 'Fuji TV']",OVA,1994,1995,PG-13,7.8,"['Hayashibara Megumi', 'Hidaka Noriko', 'Yamadera Kouichi', 'Sakuma Rei']",,
544,826,Ranma ½ Super,3,"['Sunrise', 'Viz Media']",OVA,1995,1996,PG-13,7.8,"['Hayashibara Megumi', 'Hidaka Noriko', 'Yamadera Kouichi', 'Sakuma Rei']",,
545,827,Saenai Heroine no Sodatekata,12,"['Aniplex', 'A-1 Pictures', 'Fuji TV', 'Half H.P Studio', 'Aniplex of America', 'Cospa', 'Fuji Pacific Music Publishing', 'Good Smile Company']",TV,2015,2015,PG-13,7.8,"['Yasuno Kiyono', 'Kayano Ai', 'Oonishi Saori', 'Matsuoka Yoshitsugu', 'Taichi You']",,
546,829,Shoukoujo Sara (A Little Princess Sara),46,['Nippon Animation'],TV,1985,1985,G,7.8,"['Shimamoto Sumi', 'Nakanishi Taeko', 'Ichiryuusai Teiyuu', 'Watanabe Naoko']",,
547,830,Soredemo Sekai wa Utsukushii (The World is Still Beautiful),12,"['Studio Pierrot', 'VAP', 'Hakusensha', 'Sentai Filmworks', 'Nippon Television Network Corporation']",TV,2014,2014,PG-13,7.8,"['Maeda Rena', 'Kudou Haruka', 'Shimazaki Nobunaga', 'Sugita Tomokazu', 'Sakurai Takahiro']",,
548,831,Tenchi Muyou! Ryo-Ohki (No Need for Tenchi!),6,"['AIC', 'FUNimation Entertainment', 'Pioneer LDC']",OVA,1992,1993,R+,7.8,"['Orikasa Ai', 'Kobayashi Yuko', 'Kikuchi Masami', 'Yokoyama Chisa']",,
549,832,Texhnolyze,22,"['Madhouse', 'Group TAC', 'FUNimation Entertainment', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']",TV,2003,2003,R+,7.8,"['Haga Satoshi', 'Itou Shizuka', 'Tsuchida Hiroshi', 'Kitade Shinya']",,
550,834,The iDOLM@STER,25,"['Aniplex', 'A-1 Pictures', 'TBS', 'Nippon Columbia', 'Bandai Namco Games']",TV,2011,2011,PG-13,7.8,"['Imai Asami', 'Hasegawa Akiko', 'Hirata Hiromi', 'Hara Yumi']",,
551,838,Ao Haru Ride OVA,2,"['Production I.G', 'TOHO animation']",OVA,2014,2014,PG-13,7.79,"['Kaji Yuuki', 'Uchida Maaya', 'Matsuoka Yoshitsugu', 'Komatsu Mikako']",,
552,839,Doraemon (1979) (Doraemon),1787,"['TV Asahi', 'Asatsu DK', 'Shin-Ei Animation']",TV,1979,2005,PG,7.79,"['Ooyama Nobuyo', 'Ohara Noriko', 'Kimotsuki Kaneta', 'Nomura Michiko']",,
553,841,Genshiken,12,"['Arms', 'Genco', 'Lantis', 'Kids Station', 'Media Blasters', 'Palm Studio', 'Toshiba Entertainment']",TV,2004,2004,PG-13,7.79,"['Hiyama Nobuyuki', 'Yukino Satsuki', 'Kawasumi Ayako', 'Ohyama Takanori']",,
554,842,Ginga Tetsudou 999 (Movie),1,"['Toei Animation', 'Discotek']",Movie,1979,1979,PG-13,7.79,"['Ikeda Masako', 'Nozawa Masako', 'Inoue Makio', 'Tajima Reiko']",,
555,843,Hal,1,"['Production I.G', 'FUNimation Entertainment', 'Shochiku', 'Pony Canyon', 'Wit Studio']",Movie,2013,2013,PG-13,7.79,"['Hosoya Yoshimasa', 'Hikasa Yoko', 'Miyano Mamoru']",,
556,845,Inazuma Eleven,127,"['TV Tokyo', 'Oriental Light and Magic', 'Dentsu', 'Half H.P Studio']",TV,2008,2011,G,7.79,"['Takeuchi Junko', 'Nojima Hirofumi', 'Yoshino Hiroyuki', 'Miyano Mamoru', 'Orikasa Fumiko']",,
557,846,Katekyo Hitman Reborn! Special,1,['Artland'],ONA,2010,2010,PG-13,7.79,"['Kondou Takashi', 'Kokubun Yukari', 'Ichinose Hidekazu', 'Inoue Suguru']",,
558,848,Kyoukaisenjou no Horizon II (Horizon in the Middle of Nowhere II),13,"['Sunrise', 'Lantis', 'Sentai Filmworks', 'ASCII Media Works']",TV,2012,2012,R+,7.79,"['Fukuyama Jun', 'Chihara Minori', 'Ono Daisuke', 'Sawashiro Miyuki']",,
559,849,Master Keaton,24,"['Madhouse', 'Geneon Universal Entertainment']",TV,1998,1999,R,7.79,"['Inoue Norihiro', 'Kuwashima Houko', 'Minaguchi Yuko', 'Sugawara Masashi']",,
560,850,Naruto,220,"['Studio Pierrot', 'TV Tokyo', 'Aniplex', 'Viz Media']",TV,2002,2007,PG-13,7.79,"['Takeuchi Junko', 'Kogure Ema', 'Inoue Kazuhiko', 'Sugiyama Noriaki', 'Nakamura Chie']",,
561,853,Rokka no Yuusha (Rokka: Braves of the Six Flowers),12,"['Pony Canyon', 'Passione', 'Ponycan USA']",TV,2015,2015,PG-13,7.79,"['Yuuki Aoi', 'Sawashiro Miyuki', 'Saito Soma', 'Suzumura Kenichi', 'Hikasa Yoko']",,
562,854,Sengoku Basara Two (Sengoku Basara: Samurai Kings 2),12,"['Production I.G', 'Dentsu', 'FUNimation Entertainment', 'Shochiku', 'Mainichi Broadcasting', 'Pony Canyon', 'Movic', 'flying DOG']",TV,2010,2010,PG-13,7.79,"['Nakai Kazuya', 'Hoshi Soichiro', 'Morita Masakazu', 'Ishino Ryuuzou']",,
563,856,Sora no Otoshimono (Heaven&#039;s Lost Property),13,"['AIC A.S.T.A.', 'FUNimation Entertainment', 'Kadokawa Shoten', 'Kadokawa Pictures Japan', 'The Klock Worx', 'NTT Docomo']",TV,2009,2009,PG-13,7.79,"['Hayami Saori', 'Hoshi Soichiro', 'Fujita Saki', 'Nomizu Iori', 'Suzuki Tatsuhisa']",,
564,857,Tegami Bachi (Tegami Bachi: Letter Bee),25,"['Studio Pierrot', 'TV Tokyo', 'Sentai Filmworks']",TV,2009,2010,PG-13,7.79,"['Sawashiro Miyuki', 'Fujimura Ayumi', 'Nagasawa Nao', 'Fukuyama Jun']",,
565,858,Yuru Yuri Nachuyachumi!+,2,['TYO Animations'],Special,2015,2015,PG-13,7.79,"['Ootsubo Yuka', 'Mikami Shiori', 'Tsuda Minami', 'Ookubo Rumi']",,
566,859,Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering,12,"['Sunrise', 'Media Blasters']",TV,2005,2005,PG-13,7.79,['Hiyama Nobuyuki'],,
567,862,Aldnoah.Zero,12,"['Aniplex', 'A-1 Pictures', 'Movic', 'Nitroplus', 'Aniplex of America', 'Houbunsha', 'Mages', 'TROYCA', 'Tokyo MX']",TV,2014,2014,R,7.78,"['Hanae Natsuki', 'Ono Kensho', 'Amamiya Sora', 'Komatsu Mikako']",,
568,865,Diamond no Ace OVA,3,"['Production I.G', 'Madhouse']",OVA,2014,2015,PG-13,7.78,"['Hanae Natsuki', 'Asanuma Shintaro', 'Okamoto Nobuhiko', 'Shimono Hiro']",,
569,867,Fushigi Yuugi (Mysterious Play),52,"['Studio Pierrot', 'TV Tokyo', 'Geneon Universal Entertainment', 'Shogakukan Productions', 'Yomiko Advertising', 'Media Blasters', 'Apollon']",TV,1995,1996,PG-13,7.78,"['Midorikawa Hikaru', 'Sakamoto Chika', 'Canna Nobutoshi', 'Araki Kae']",,
570,868,Genshiken OVA,3,"['Genco', 'Lantis', 'Media Factory', 'Media Blasters', 'Asia-Do']",OVA,2006,2007,PG-13,7.78,"['Hiyama Nobuyuki', 'Mizuhashi Kaori', 'Yukino Satsuki', 'Ohyama Takanori']",,
571,870,Hakuouki Hekketsuroku (Hakuoki: Record of the Jade Blood),10,"['Studio Deen', 'Sentai Filmworks']",TV,2010,2010,R,7.78,"['Toriumi Kousuke', 'Morikubo Showtaro', 'Miki Shinichiro', 'Yusa Kouji']",,
572,871,High School DxD,12,"['Genco', 'FUNimation Entertainment', 'Lantis', 'TNK', 'AT-X', 'PRA', 'Showgate', 'Atelier Musa']",TV,2012,2012,R+,7.78,"['Hikasa Yoko', 'Kaji Yuuki', 'Itou Shizuka', 'Taketatsu Ayana']",,
573,873,Kuroshitsuji II Specials,6,"['A-1 Pictures', 'Square Enix', 'FUNimation Entertainment']",Special,2010,2011,PG-13,7.78,"['Ono Daisuke', 'Sakamoto Maaya', 'Fukuyama Jun', 'Suwabe Junichi']",,
574,874,Lupin III,23,"['Tokyo Movie Shinsha', 'Discotek']",TV,1971,1972,PG-13,7.78,"['Yamada Yasuo', 'Kobayashi Kiyoshi', 'Nikaido Yukiko', 'Otsuka Chikao']",,
575,875,Mahou Shoujo Lyrical Nanoha StrikerS,26,"['Geneon Universal Entertainment', 'Seven Arcs', 'A Line']",TV,2007,2007,PG-13,7.78,"['Mizuki Nana', 'Tamura Yukari', 'Ueda Kana', 'Mizuhashi Kaori']",,
576,876,Mirai Nikki Redial,1,['Asread'],OVA,2013,2013,R,7.78,"['Murata Tomosa', 'Aizawa Mai', 'Ishida Akira', 'Togashi Misuzu']",,
577,877,Mobile Suit Gundam 00 Special Edition,3,"['Sunrise', 'Sotsu Agency', 'Asatsu DK', 'Mainichi Broadcasting']",OVA,2009,2010,PG-13,7.78,"['Miyano Mamoru', 'Miki Shinichiro', 'Kamiya Hiroshi', 'Yoshino Hiroyuki']",,
578,879,No.6,11,"['Bones', 'Aniplex', 'Fuji TV', 'Sentai Filmworks']",TV,2011,2011,R,7.78,"['Hosoya Yoshimasa', 'Kaji Yuuki', 'Shindou Kei', 'Yasuno Kiyono']",,
579,880,Oda Nobuna no Yabou (The Ambition of Oda Nobuna),12,"['Madhouse', 'Pony Canyon', 'AT-X', 'Sentai Filmworks', 'Studio Gokumi', 'The Klock Worx', 'SoftBank Creative Corp.']",TV,2012,2012,PG-13,7.78,"['Itou Kanae', 'Eguchi Takuya', 'Kaneda Tomoko', 'Matsuzaki Rei']",,
580,881,Ojiisan no Lamp,1,['Telecom Animation Film'],Movie,2011,2011,G,7.78,"['Kamiya Hiroshi', 'Saeki Tomo', 'Tani Ikuko', 'Ogata Mitsuru', 'Hirata Mana']",,
