"ID","Title","Episodes","ProductionHouse","Genres","Type","Year","Rating"
"72","Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou","1","Shuka","Supernatural","Other","2015","4.3"
"73","Durarara!!x2 Shou Episode 4.5","1","Shuka","Supernatural","Other","2015","4.3"
"74","Death Billiards","1","MADHOUSE","Anime Mirai","Drama","","4.3"
"75","Kyoukai no Kanata Movie: I'll Be Here - Mirai-hen","1","Kyoto Animation","Based on a Light Novel","Fantasy","","4.3"
"76","Beyond the Boundary Movie: I'll Be Here - Mirai-hen","1","Kyoto Animation","Based on a Light Novel","Fantasy","","4.3"
"77","Monthly Girls' Nozaki-kun Specials","6","Dogakobo","Based on a Manga","Comedy","","4.3"
"78","Gekkan Shoujo Nozaki-kun Specials","6","Dogakobo","Based on a Manga","Comedy","","4.3"
"79","Anohana -The Flower We Saw That Day The Movie-","1","A-1 Pictures","Drama","noitaminA","","4.3"
"80","Ano Hi Mita Hana no Namae o Boku-tachi wa Mada Shiranai. Movie","1","A-1 Pictures","Drama","noitaminA","","4.3"
"81","Broken Blade: The Path of Separation","1","Production I.G","Action","Fantasy","","4.3"
"82","Break Blade Movie 2: Ketsubetsu no Michi","1","Production I.G","Action","Fantasy","","4.3"
"83","Seitokai Yakuindomo* OVA","4","GoHands","Based on a Manga","Comedy","","4.3"
"84","Gintama: Dai Hanseikai","1","Sunrise","Action","Aliens","","4.3"
"85","Pokemon: The Origin","4","Production I.G","Action","Adventure","","4.3"
"86","Pokemon Origins","4","Production I.G","Action","Adventure","","4.3"
"87","InuYasha: The Final Act","26","Sunrise","Based on a Manga","Demons","","4.3"
"88","Gintama: Jump Festa 2005","1","Sunrise","Action","Aliens","","4.3"
"89","Durarara!! Specials","2","Brains-Base","Action","Supernatural","","4.3"
"90","Giovanni's Island","1","Production I.G","Drama","Historical","","4.3"
"91","Giovanni no Shima","1","Production I.G","Drama","Historical","","4.3"
"92","Gangsta.","12","Manglobe","Action","Based on a Manga","","4.3"
"93","Stand by Me Doraemon","1","Shinei Animation","CG Animation","Movie","2014","4.3"
"94","Soul Eater","51","Bones","Action","Based on a Manga","","4.3"
"95","Initial D Second Stage","13","Pastel","Cars","Drama","","4.3"
"96","Tokyo Magnitude 8.0","11","Bones","Drama","Earthquake","","4.3"
"97","Doraemon (1979)","1787","Shinei Animation","Based on a Manga","Comedy","","2.9"
"98","Fate/Kaleid Liner Prisma Illya: Undoukai de Dance!","1","SILVER LINK","Fantasy","Magical Girl","","2.9"
"99","Legend of the Millennium Dragon","1","Studio Pierrot","","Movie","2011","2.9"
"100","Onigamiden","1","Studio Pierrot","","Movie","2011","2.9"
"101","Mayoi Neko Overrun! Specials","6","AIC","","DVD Special","2010","2.9"
"102","Final Approach","13","Zexcs","Comedy","Romance","","2.9"
"103","A Tree of Palme","1","Palm Studio","Adventure","Based on a Novel","","2.9"
"104","Tree of Palme","1","Palm Studio","Adventure","Based on a Novel","","2.9"
"105","Hurricane Polymar","26","Tatsunoko Pro.","Action","Adventure","","2.9"
"106","Kishin Taisen Gigantic Formula","26","Brains-Base","Action","Mecha","","2.9"
"107","Gigantic Formula","26","Brains-Base","Action","Mecha","","2.9"
"108","Night Raid 1931: Demon of the Opium Den","1","A-1 Pictures","","DVD Special","2010","2.9"
"109","Senkou no Night Raid: Demon of the Opium Den","1","A-1 Pictures","","DVD Special","2010","2.9"
"110","Ghiblies","2","Studio Ghibli","Comedy","Other","","2.9"
"111","Kindaichi Shounen no Jikenbo: Kuromajutsu Satsujin Jiken-hen","2","Toei Animation","","OVA","","2.9"
"112","Pokemon Movie 17: Diancie and the Cocoon of Destruction","1","OLM","Adventure","Family Friendly","","2.9"
"113","Mokei Senshi Gunpla Builders Beginning G","3","Sunrise","Action","Mecha","","2.9"
"114","Naruto OVA 3","1","Studio Pierrot","Action","Ninja","","2.9"
"115","Narutimate Hero 3 OVA","1","Studio Pierrot","Action","Ninja","","2.9"
"117","Venus Wars","1","Gakken","Futuristic","Post-apocalyptic","","2.9"
"118","Night Raid 1931","13","A-1 Pictures","Action","Military","","2.9"
"119","Senkou no Night Raid","13","A-1 Pictures","Action","Military","","2.9"
"120","Neo Angelique Abyss","13","Yumeta","Based on an Otome Game","Based on a Visual Novel","","2.9"
"122","Iketeru Futari","16","J.C.Staff","Based on a Manga","Comedy","","2.9"
"124","The Trapp Family Story","40","Nippon Animation","Based on a Novel","Drama","","2.9"
"125","Fushigi na Koala Blinky","26","Nippon Animation","Animal Protagonists","Family Friendly","","2.9"
"126","Noozles","26","Nippon Animation","Animal Protagonists","Family Friendly","","2.9"
"127","Armored Trooper Votoms: Big Battle","1","Sunrise","Action","Mecha","","2.9"
"128","Soukou Kihei Votoms: Big Battle","1","Sunrise","Action","Mecha","","2.9"
"129","Iron Leaguer","52","Sunrise","Baseball","Robots","","2.9"
"130","Hurricane! Iron Leaguer","52","Sunrise","Baseball","Robots","","2.9"
"131","Shippu! Iron Leaguer","52","Sunrise","Baseball","Robots","","2.9"
"133","Kanokon ~Manatsu no Daishanikusai~ Specials","2","XEBEC","Ecchi","Nudity","","2.9"
"134","Utsunomiko: Heaven Chapter","13","Toei Animation","Fantasy","OVA","","2.9"
"135","Heavenly Chronicles","13","Toei Animation","Fantasy","OVA","","2.9"
"136","Tenjou Hen: Utsu no Miko","13","Toei Animation","Fantasy","OVA","","2.9"
"137","Hi no Tori 2772: Ai no CosmoZone","1","Tezuka Productions","Sci Fi","Movie","1980","2.9"
"138","Phoenix 2772","1","Tezuka Productions","Sci Fi","Movie","1980","2.9"
"139","Kinnikuman Nisei: Ultimate Muscle 2","13","Toei Animation","","TV","2006","2.9"
"140","Shomin Sample","1","SILVER LINK","Based on a Light Novel","Comedy","","2.9"
"141","Ore ga Ojou-sama Gakkou ni &quot;Shomin Sample&quot; Toshite Rachirareta Ken","1","SILVER LINK","Based on a Light Novel","Comedy","","2.9"
"142","Amaenaideyo!! Special","1","Studio Deen","Based on a Manga","Comedy","","2.9"
"143","Di Gi Charat Natsuyasumi Special","4","MADHOUSE","Aliens","America","","2.9"
"144","Medabots","52","BEE TRAIN","Action","Robots","","2.9"
"145","Tokyo Underground","26","Studio Pierrot","Action","Based on a Manga","","2.9"
"146","CLAMP School Detectives","26","Studio Pierrot","","TV","1997","2.9"
"148","Kita e ~Diamond Dust Drops~","12","Studio Deen","Based on a Visual Novel","Drama","","2.9"
"149","Diamond Daydreams","12","Studio Deen","Based on a Visual Novel","Drama","","2.9"
"150","Persona -trinity soul-","26","A-1 Pictures","Based on a Video Game","Drug Use","","2.9"
"151","Captain Future: Kareinaru Taiyokei Race","1","Toei Animation","Adventure","Outer Space","","2.9"
"152","Captain Future: The Great Race in the Solar System","1","Toei Animation","Adventure","Outer Space","","2.9"
"153","Kurogane Communication","24","Studio A.P.P.P.","Post-apocalyptic","Robots","","2.9"
"154","Trava - Fist Planet","4","MADHOUSE","Action","Comedy","","2.9"
"155","Onmyou Taisenki","52","Sunrise","Action","Adventure","","2.9"
"156","Doraemon: Nobita and the Green Giant Legend","1","Shinei Animation","","Movie","2008","2.9"
"158","Daichis: Earth's Defense Family","13","Group TAC","Action","Comedy","","2.9"
"159","The Daichis: Earth's Defense Family","13","Group TAC","Action","Comedy","","2.9"
"160","Chikyuu Bouei Kazoku","13","Group TAC","Action","Comedy","","2.9"
"163","Ring ni Kakero 1: Nichibei Kessen Hen","12","Toei Animation","Action","Based on a Manga","","2.9"
"164","Silent Mobius: The Motion Picture 2","1","AIC","Based on a Manga","Police","","2.9"
"165","Embracing Love: Cherished Spring","2","Trinet Entertainment","Romance","Yaoi","","2.9"
"166","Haru wo Daiteita","2","Trinet Entertainment","Romance","Yaoi","","2.9"
"167","Mobile Suit Gundam AGE: Memory of Eden","1","Sunrise","","OVA","2013","2.9"
"168","Gundam AGE: Memory of Eden","1","Sunrise","","OVA","2013","2.9"
"169","Kidou Senshi Gundam AGE: Memory of Eden","1","Sunrise","","OVA","2013","2.9"
"170","DNA²","12","Studio Deen","Based on a Manga","Comedy","","2.9"
"171","To Heart 2","13","OLM","Romance","School Life","","2.9"
"172","Getter Robo G","39","Toei Animation","Action","Mecha","","2.9"
"173","Starvengers","39","Toei Animation","Action","Mecha","","2.9"
"174","Hyakka Ryouran: Samurai Bride","12","ARMS","Based on a Light Novel","Comedy","","2.9"
"175","Girls und Panzer: Fushou - Akiyama Yukari no Sensha Kouza","6","Actas","","DVD Special","","2.9"
"176","Nagagutsu o Haita Neko: 80 Nichikan Sekai Is","1","Toei Animation","Adventure","Animal Protagonists","","2.9"
"177","Puss in Boots Travels Around the World in 80 Days","1","Toei Animation","Adventure","Animal Protagonists","","2.9"
"178","Itsuka Tenma no Kuro Usagi","12","Zexcs","Based on a Light Novel","Demons","","2.9"
"179","A Dark Rabbit Has Seven Lives","12","Zexcs","Based on a Light Novel","Demons","","2.9"
"180","Sword Art Online: Sword Art Offline - Extra Edition","1","A-1 Pictures","","DVD Special","2014","2.9"
"181","Pokemon: Raikou - The Legend of Thunder","1","OLM","Action","Family Friendly","","2.9"
"182","Pocket Monsters Crystal: Raikou Ikazuchi no Densetsu","1","OLM","Action","Family Friendly","","2.9"
"183","Kampfer fur die Liebe","2","Nomad","Action","Based on a Light Novel","","2.9"
"184","Mini Sengoku Basara: Chousokabe-kun to Mouri-kun","7","Production I.G","","DVD Special","","2.9"
"185","Crusher Joe","2","Sunrise","Action","Mercenaries","","2.9"
"186","Galaxy Railways II","26","Planet","","TV","","2.9"
"187","Ginga Tetsudou Monogatari II","26","Planet","","TV","","2.9"
"188","Grander Musashi RV","39","Nippon Animation","Sports","TV","1998","2.9"
"189","Yawara! Sore Yuke Koshinuke Kiss!!","1","MADHOUSE","Martial Arts","Movie","1992","2.9"
"190","Digimon Movie 6: Runaway Locomon","1","Toei Animation","Action","Family Friendly","","2.9"
"191","Jungle King Tar-chan","50","Group TAC","Based on a Manga","Comedy","","2.9"
"192","B't X","25","TMS Entertainment","Sci Fi","TV","1996","2.9"
"193","Kiddy Girl-and","24","Satelight","Fantasy","Futuristic","","2.9"
"194","Pokemon: Black and White","84","OLM","Adventure","Family Friendly","","2.9"
"195","Pokemon Best Wishes!","84","OLM","Adventure","Family Friendly","","2.9"
"196","Hyakka Ryouran: Samurai Girls Specials","6","ARMS","Ecchi","Nudity","","2.9"
"197","Futakoi","13","ufotable","Harem","Romance","","2.9"
"198","Tenku Senki Shurato","38","Tatsunoko Pro.","Fantasy","TV","","2.9"
"199","Heaven Wars Shurato","38","Tatsunoko Pro.","Fantasy","TV","","2.9"
"201","Dear Boys","26","OB Planning","Based on a Manga","Basketball","","2.9"
"202","Hoop Days","26","OB Planning","Based on a Manga","Basketball","","2.9"
"203",".hack//Quantum Specials","3","Kinema Citrus","","DVD Special","2011","2.9"
