"ID","Title","Episodes","ProductionHouse","Genres","Type","Year","Rating"
"63","Jin-Rou (Jin-Roh: The Wolf Brigade)","1","Production I.G","Drama","Movie","1998-1998","R"
"64","Memories","3","Madhouse","Drama","Movie","1995-1995","PG-13"
"65","Macross Plus Movie Edition","1","Studio Nue","Action","Movie","1995-1995","PG-13"
"66","Momo e no Tegami (A Letter to Momo)","1","Production I.G","Drama","Movie","2011-2011","G"
"67","Toaru Hikuushi e no Tsuioku (The Princess and the Pilot)","1","Madhouse","Adventure","Movie","2011-2011","PG-13"
"68","Ginga Tetsudou 999 (Movie)","1","Toei Animation","Adventure","Movie","1979-1979","PG-13"
"69","Hal","1","Production I.G","Romance","Movie","2013-2013","PG-13"
"70","Ojiisan no Lamp","1","Telecom Animation Film","Drama","Movie","2011-2011","G"
"71","Cardcaptor Sakura Movie 1 (Cardcaptor Sakura: The Movie)","1","Madhouse","Comedy","Movie","1999-1999","PG"
"72","Layton Kyouju to Eien no Utahime","1","Oriental Light and Magic","Mystery","Movie","2009-2009","PG"
"73","Muumindani no Suisei","1","Telescreen BV","Adventure","Movie","1992-1992","G"
"74","Bungaku Shoujo (Book Girl)","1","Production I.G","Drama","Movie","2010-2010","PG-13"
"75","Majokko Shimai no Yoyo to Nene (Magical Sisters Yoyo &amp; Nene)","1","Aniplex","Fantasy","Movie","2013-2013","G"
"76","Strike Witches Movie","1","AIC","Action","Movie","2012-2012","PG-13"
"77","Waga Seishun no Arcadia","1","Toei Animation","Action","Movie","1982-1982","PG-13"
"78","Kappa no Coo to Natsuyasumi (Summer Days with Coo)","1","Aniplex","Adventure","Movie","2007-2007","G"
"79","Aa! Megami-sama! Movie (Ah! My Goddess: The Movie)","1","Bandai Visual","Comedy","Movie","2000-2000","PG-13"
"80","Juubee Ninpuuchou (Ninja Scroll)","1","Madhouse","Adventure","Movie","1993-1993","R+"
"81","Omoide Poroporo (Only Yesterday)","1","Studio Ghibli","Drama","Movie","1991-1991","G"
"82","Metropolis","1","Madhouse","Adventure","Movie","2001-2001","PG-13"
"83","Acchi Kocchi","1","None found","Dementia","Movie","1962-1962","R"
"84","Afro Samurai Movie (Afro Samurai the Movie)","1","Gonzo","Action","Movie","2007-2007","R+"
"85","Captain Harlock (Space Pirate Captain Harlock)","1","Toei Animation","Action","Movie","2013-2013","R"
"86","Dareka no Manazashi (Someone&#039;s Gaze)","1","CoMix Wave Films","Drama","Movie","2013-2013","G"
"87","Harmonie","1","Studio Rikka","Drama","Movie","2014-2014","PG-13"
"88","Top wo Nerae! &amp; Top wo Nerae 2! Gattai Movie!!","2","Gainax","Comedy","Movie","2006-2006","PG-13"
"89","Brave Story","1","Gonzo","Action","Movie","2006-2006","G"
"90","Digimon Adventure Movie (Digimon: The Movie)","1","Toei Animation","Action","Movie","1999-1999","PG"
"91","Kowarekake no Orgel (Movie)","1","ElectromagneticWave","Drama","Movie","2010-2010","G"
"92","Ghost in the Shell (2015)","1","Production I.G","Action","Movie","2015-2015","None"
"93","Nitaboh","1","Wao World","Historical","Movie","2004-2004","PG"
"94","Little Nemo (Little Nemo: Adventures in Slumberland)","1","Tokyo Movie Shinsha","Adventure","Movie","1989-1989","G"
"95","Uchuu Show e Youkoso (Welcome to THE SPACE SHOW)","1","Aniplex","Adventure","Movie","2010-2010","G"
"96","Shashinkan","1","Studio Colorido","Drama","Movie","2013-2013","PG-13"
"97","Tenchi Muyou! in Love (Tenchi Muyo! In Love)","1","Geneon Universal Entertainment","Action","Movie","1996-1996","PG-13"
"98","Ashita no Joe 2 (Movie)","1","Tokyo Movie Shinsha","Drama","Movie","1981-1981","PG-13"
"99","Hadashi no Gen 2 (Barefoot Gen 2)","1","Madhouse","Drama","Movie","1986-1986","PG-13"
"100","Marmalade Boy Movie","1","TOKYOPOP","Romance","Movie","1995-1995","PG-13"
"101","Tibet Inu Monogatari (The Tibetan Dog)","1","Madhouse","Adventure","Movie","2011-2011","G"
"102","Appleseed Saga Ex Machina (Appleseed: Ex Machina)","1","ADV Films","Action","Movie","2007-2007","PG-13"
"103","Mobile Suit Gundam I","1","Sunrise","Action","Movie","1981-1981","PG-13"
